,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
15472,MNX1,control,SRR926261,OK,1,4.11679,2.041519858,NA,3.00E-04,0.0209686,yes
12358,LOC344887,control,SRR926261,OK,1,4.30139,2.104802944,NA,0.00015,0.012408,yes
15925,MYLK-AS2,control,SRR926261,OK,0.229221,1,2.125188873,NA,0.00085,0.0456192,yes
22155,SNORD96A,control,SRR926261,OK,269.912,1467.09,2.442396353,0.00729097,9.00E-04,0.0477344,yes
23560,TLX3,control,SRR926261,OK,1,6.44022,2.687109972,NA,5.00E-05,0.00482166,yes
16411,NKX2-5,control,SRR926261,OK,1,7.3941,2.886374555,NA,5.00E-05,0.00482166,yes
16410,NKX2-4,control,SRR926261,OK,1,8.1713,3.03056562,NA,5.00E-05,0.00482166,yes
11692,LOC101927915,control,SRR926261,OK,1,15.0109,3.907938573,NA,1.00E-04,0.00892723,yes
22074,SNORD38A,control,SRR926261,OK,95.238,1529.83,4.00569021,0.00888935,0.00075,0.0413601,yes
8718,IGF2BP1,control,SRR926261,OK,1,18.098,4.17775837,NA,5.00E-05,0.00482166,yes
18061,PI3,control,SRR926261,OK,1,19.9318,4.317000098,NA,0.00025,0.018401,yes
22956,SYT14,control,SRR926261,OK,1,27.0542,4.757780676,NA,5.00E-05,0.00482166,yes
15022,MIR6723,control,SRR926261,OK,107739,5383380,5.642899781,1390.87,7.00E-04,0.0390808,yes
5189,DPPA2,control,SRR926261,OK,1,96.1736,6.587569018,NA,5.00E-05,0.00482166,yes
21794,SNORA14B,control,SRR926261,OK,1,234.17,7.871412451,NA,7.00E-04,0.0390808,yes
21802,SNORA21,control,SRR926261,OK,1,245.691,7.940701201,NA,0.00035,0.0236388,yes
21809,SNORA28,control,SRR926261,OK,1,290.696,8.18336741,NA,6.00E-04,0.0355914,yes
22157,SNORD97,control,SRR926261,OK,1,394.896,8.625328944,NA,1.00E-04,0.00892723,yes
14873,MIR593,control,SRR926261,OK,1,570.751,9.156717672,NA,8.00E-04,0.043453,yes
22041,SNORD16,control,SRR926261,OK,1,570.751,9.156717672,NA,5.00E-05,0.00482166,yes
22137,SNORD83A,control,SRR926261,OK,1,660.21,9.366781181,NA,5.00E-05,0.00482166,yes
22053,SNORD21,control,SRR926261,OK,1,676.505,9.401956787,NA,0.00015,0.012408,yes
21858,SNORA68,control,SRR926261,OK,1,737.073,9.525663701,NA,3.00E-04,0.0209686,yes
22023,SNORD12,control,SRR926261,OK,1,769.831,9.588397957,NA,7.00E-04,0.0390808,yes
