,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
5196,DPT,control,SRR926262,OK,19.8618,1,-4.31192447,NA,5.00E-05,0.00751333,yes
934,APCDD1,control,SRR926262,OK,19.4657,1,-4.282862321,NA,5.00E-05,0.00751333,yes
13291,MEDAG,control,SRR926262,OK,18.9236,1,-4.242114666,NA,5.00E-05,0.00751333,yes
22830,SULF1,control,SRR926262,OK,18.8587,1,-4.237158324,NA,5.00E-05,0.00751333,yes
20896,SERTM1,control,SRR926262,OK,18.805,1,-4.233044401,NA,5.00E-05,0.00751333,yes
1709,BHLHE41,control,SRR926262,OK,18.684,1,-4.223731445,NA,5.00E-05,0.00751333,yes
5673,ENPP2,control,SRR926262,OK,18.2922,1,-4.193156693,NA,5.00E-05,0.00751333,yes
986,APOL3,control,SRR926262,OK,18.1778,1,-4.1841057,NA,5.00E-05,0.00751333,yes
19451,RAMP1,control,SRR926262,OK,18.0728,1,-4.175748134,NA,5.00E-05,0.00751333,yes
4554,DACT1,control,SRR926262,OK,18.0193,1,-4.171471062,NA,5.00E-05,0.00751333,yes
23621,TMEM100,control,SRR926262,OK,18.0115,1,-4.170846429,NA,5.00E-05,0.00751333,yes
23197,TCEAL7,control,SRR926262,OK,17.9006,1,-4.16193604,NA,3.00E-04,0.0312694,yes
5434,EFCAB1,control,SRR926262,OK,17.7232,1,-4.147567207,NA,5.00E-05,0.00751333,yes
20916,SETSIP,control,SRR926262,OK,16.8236,1,-4.072414549,NA,5.00E-05,0.00751333,yes
18648,PPP1R1B,control,SRR926262,OK,16.5866,1,-4.051946281,NA,5.00E-05,0.00751333,yes
8473,HSD11B1,control,SRR926262,OK,16.1091,1,-4.009803989,NA,5.00E-05,0.00751333,yes
13031,MAP1LC3A,control,SRR926262,OK,15.7755,1,-3.979613827,NA,5.00E-05,0.00751333,yes
21302,SLC25A46,control,SRR926262,OK,15.6409,1,-3.967251625,NA,5.00E-05,0.00751333,yes
22875,SUSD3,control,SRR926262,OK,15.3981,1,-3.94468044,NA,5.00E-05,0.00751333,yes
8238,HLA-DQA1,control,SRR926262,OK,14.9708,1,-3.904079412,NA,0.00015,0.018526,yes
7418,GNG2,control,SRR926262,OK,14.8494,1,-3.892332734,NA,5.00E-05,0.00751333,yes
15687,MS4A8,control,SRR926262,OK,14.8395,1,-3.891370578,NA,5.00E-05,0.00751333,yes
7941,HAS1,control,SRR926262,OK,14.4598,1,-3.853975693,NA,5.00E-05,0.00751333,yes
3572,CHST15,control,SRR926262,OK,14.3137,1,-3.839324743,NA,5.00E-05,0.00751333,yes
20686,SCUBE1,control,SRR926262,OK,14.2927,1,-3.837206573,NA,5.00E-05,0.00751333,yes
2643,CAPSL,control,SRR926262,OK,14.2188,1,-3.829727808,NA,0.00035,0.0348685,yes
3694,CLEC2B,control,SRR926262,OK,14.0388,1,-3.811347718,NA,5.00E-05,0.00751333,yes
7256,GIMAP4,control,SRR926262,OK,13.9711,1,-3.804373709,NA,5.00E-05,0.00751333,yes
6486,FCGR3A,control,SRR926262,OK,13.3415,1,-3.737848974,NA,5.00E-05,0.00751333,yes
25210,WBSCR17,control,SRR926262,OK,13.3024,1,-3.733614653,NA,5.00E-05,0.00751333,yes
15684,MS4A6A,control,SRR926262,OK,13.2284,1,-3.72556667,NA,5.00E-05,0.00751333,yes
8352,HOPX,control,SRR926262,OK,13.1729,1,-3.719501083,NA,5.00E-05,0.00751333,yes
3396,CES1,control,SRR926262,OK,12.9532,1,-3.695236645,NA,5.00E-05,0.00751333,yes
12884,LYPLAL1,control,SRR926262,OK,12.864,1,-3.685267407,NA,5.00E-05,0.00751333,yes
21433,SLC39A8,control,SRR926262,OK,12.8485,1,-3.683528036,NA,5.00E-05,0.00751333,yes
6173,FAM216B,control,SRR926262,OK,12.3775,1,-3.629648044,NA,0.00015,0.018526,yes
13235,MDFI,control,SRR926262,OK,12.2168,1,-3.610794538,NA,0.00015,0.018526,yes
6145,FAM19A5,control,SRR926262,OK,11.7471,1,-3.554232738,NA,5.00E-05,0.00751333,yes
26007,ZNF521,control,SRR926262,OK,11.6957,1,-3.547906306,NA,5.00E-05,0.00751333,yes
7764,GSPT2,control,SRR926262,OK,11.3184,1,-3.500598124,NA,5.00E-05,0.00751333,yes
659,ALOX5AP,control,SRR926262,OK,11.2907,1,-3.497063028,NA,5.00E-04,0.0431388,yes
387,ADGRL4,control,SRR926262,OK,11.2897,1,-3.496935245,NA,5.00E-05,0.00751333,yes
24680,UBE2E4P,control,SRR926262,OK,11.2518,1,-3.492083909,NA,5.00E-05,0.00751333,yes
17579,PARM1,control,SRR926262,OK,11.2278,1,-3.489003365,NA,5.00E-05,0.00751333,yes
8323,HNRNPCL1,control,SRR926262,OK,11.0824,1,-3.47019844,NA,0.00025,0.0271566,yes
19763,RGN,control,SRR926262,OK,10.7723,1,-3.429254408,NA,5.00E-05,0.00751333,yes
168,ACKR3,control,SRR926262,OK,10.483,1,-3.389979738,NA,5.00E-05,0.00751333,yes
2569,CALB2,control,SRR926262,OK,9.98557,1,-3.319844782,NA,1.00E-04,0.0134567,yes
18228,PLA2G5,control,SRR926262,OK,9.79254,1,-3.291683116,NA,1.00E-04,0.0134567,yes
20476,S1PR1,control,SRR926262,OK,9.79136,1,-3.291509261,NA,0.00015,0.018526,yes
8411,HP,control,SRR926262,OK,9.38363,1,-3.230146128,NA,5.00E-05,0.00751333,yes
20029,RNF5P1,control,SRR926262,OK,9.2408,1,-3.208017755,NA,3.00E-04,0.0312694,yes
7884,H19,control,SRR926262,OK,9.21027,1,-3.20324345,NA,5.00E-05,0.00751333,yes
8460,HS3ST2,control,SRR926262,OK,9.02851,1,-3.174487915,NA,5.00E-05,0.00751333,yes
3439,CFHR3,control,SRR926262,OK,9.00401,1,-3.170567659,NA,5.00E-05,0.00751333,yes
6127,FAM189A2,control,SRR926262,OK,8.87257,1,-3.149352051,NA,1.00E-04,0.0134567,yes
17855,PDLIM4,control,SRR926262,OK,8.69254,1,-3.119777801,NA,5.00E-05,0.00751333,yes
19696,REN,control,SRR926262,OK,8.62197,1,-3.108017543,NA,3.00E-04,0.0312694,yes
3719,CLIC6,control,SRR926262,OK,8.40141,1,-3.070631474,NA,5.00E-05,0.00751333,yes
9892,LAMP5,control,SRR926262,OK,8.32202,1,-3.056933756,NA,5.00E-05,0.00751333,yes
18059,PI15,control,SRR926262,OK,8.21622,1,-3.038474812,NA,5.00E-05,0.00751333,yes
25146,VSIG4,control,SRR926262,OK,7.98712,1,-2.997675389,NA,0.00025,0.0271566,yes
3673,CLDN5,control,SRR926262,OK,7.91855,1,-2.985236276,NA,0.00015,0.018526,yes
3940,COLEC12,control,SRR926262,OK,7.72312,1,-2.949183788,NA,0.00025,0.0271566,yes
3086,CD48,control,SRR926262,OK,7.70525,1,-2.945841766,NA,4.00E-04,0.0369887,yes
23423,THBD,control,SRR926262,OK,7.69216,1,-2.943388772,NA,5.00E-05,0.00751333,yes
7055,GALNT3,control,SRR926262,OK,7.58411,1,-2.922979889,NA,5.00E-05,0.00751333,yes
7537,GPC6,control,SRR926262,OK,7.58203,1,-2.922584165,NA,5.00E-05,0.00751333,yes
125,ABO,control,SRR926262,OK,7.3244,1,-2.872710582,NA,0.00025,0.0271566,yes
2595,CAMK1G,control,SRR926262,OK,7.23043,1,-2.854081448,NA,0.00015,0.018526,yes
5486,EGR3,control,SRR926262,OK,6.93422,1,-2.793733609,NA,5.00E-05,0.00751333,yes
2736,CBLN4,control,SRR926262,OK,6.61492,1,-2.725723709,NA,5.00E-05,0.00751333,yes
3684,CLEC14A,control,SRR926262,OK,6.60159,1,-2.722813541,NA,0.00035,0.0348685,yes
21329,SLC27A6,control,SRR926262,OK,6.52139,1,-2.7051795,NA,2.00E-04,0.0235712,yes
19159,PTN,control,SRR926262,OK,6.34393,1,-2.665376852,NA,4.00E-04,0.0369887,yes
6757,FOLR2,control,SRR926262,OK,6.28449,1,-2.651795672,NA,4.00E-04,0.0369887,yes
90,ABCG2,control,SRR926262,OK,6.25678,1,-2.645420377,NA,5.00E-05,0.00751333,yes
2464,C9orf171,control,SRR926262,OK,6.01221,1,-2.587895402,NA,4.00E-04,0.0369887,yes
5676,ENPP5,control,SRR926262,OK,5.86839,1,-2.552964752,NA,5.00E-05,0.00751333,yes
5981,FAIM2,control,SRR926262,OK,5.75616,1,-2.525106694,NA,5.00E-05,0.00751333,yes
25861,ZNF300P1,control,SRR926262,OK,5.66171,1,-2.501237854,NA,3.00E-04,0.0312694,yes
26066,ZNF583,control,SRR926262,OK,5.64164,1,-2.496114609,NA,5.00E-05,0.00751333,yes
15886,MYCT1,control,SRR926262,OK,5.55179,1,-2.472952998,NA,1.00E-04,0.0134567,yes
5304,DUSP26,control,SRR926262,OK,5.39119,1,-2.430603755,NA,4.00E-04,0.0369887,yes
20587,SCARA5,control,SRR926262,OK,5.29336,1,-2.404183775,NA,1.00E-04,0.0134567,yes
8816,IL20RA,control,SRR926262,OK,5.24927,1,-2.392116806,NA,0.00015,0.018526,yes
3540,CHRDL1,control,SRR926262,OK,5.24346,1,-2.390519117,NA,5.00E-05,0.00751333,yes
22270,SOX18,control,SRR926262,OK,5.20202,1,-2.379071946,NA,4.00E-04,0.0369887,yes
16173,NDP,control,SRR926262,OK,5.10532,1,-2.352001392,NA,0.00045,0.0397765,yes
25860,ZNF300,control,SRR926262,OK,4.93824,1,-2.303996954,NA,4.00E-04,0.0369887,yes
25323,WISP1,control,SRR926262,OK,4.8064,1,-2.264956718,NA,5.00E-05,0.00751333,yes
16526,NOVA1,control,SRR926262,OK,4.77882,1,-2.256654428,NA,2.00E-04,0.0235712,yes
9976,LCP2,control,SRR926262,OK,4.58853,1,-2.19803204,NA,0.00045,0.0397765,yes
10215,LINC00341,control,SRR926262,OK,4.4291,1,-2.147013571,NA,2.00E-04,0.0235712,yes
25883,ZNF334,control,SRR926262,OK,4.40396,1,-2.138801365,NA,5.00E-05,0.00751333,yes
12782,LRRN2,control,SRR926262,OK,4.37674,1,-2.129856683,NA,5.00E-05,0.00751333,yes
15462,MMRN1,control,SRR926262,OK,4.3678,1,-2.126906797,NA,1.00E-04,0.0134567,yes
20938,SFRP2,control,SRR926262,OK,4.35738,1,-2.123460934,NA,4.00E-04,0.0369887,yes
16345,NGFR,control,SRR926262,OK,4.31342,1,-2.108832199,NA,5.00E-05,0.00751333,yes
22889,SVEP1,control,SRR926262,OK,4.16443,1,-2.058119042,NA,5.00E-05,0.00751333,yes
19122,PTENP1,control,SRR926262,OK,4.14007,1,-2.049655161,NA,2.00E-04,0.0235712,yes
5453,EFHC2,control,SRR926262,OK,4.04317,1,-2.015486865,NA,0.00035,0.0348685,yes
