,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
22959,SYT16,control,SRR926262,OK,1,4.65504,2.218793565,NA,1.00E-04,0.0134567,yes
20594,SCARNA11,control,SRR926262,OK,1,5.49773,2.458836056,NA,0.00035,0.0348685,yes
1366,ATP11AUN,control,SRR926262,OK,1,5.92356,2.566464482,NA,0.00015,0.018526,yes
17493,PADI3,control,SRR926262,OK,1,6.96772,2.80068665,NA,5.00E-05,0.00751333,yes
4487,CYP2C18,control,SRR926262,OK,1,7.27998,2.863934487,NA,0.00025,0.0271566,yes
15358,MIR98,control,SRR926262,OK,1,8.76273,3.131380407,NA,0.00045,0.0397765,yes
16906,OLIG3,control,SRR926262,OK,1,9.87893,3.30435479,NA,5.00E-05,0.00751333,yes
22053,SNORD21,control,SRR926262,OK,1,18.2011,4.185953739,NA,4.00E-04,0.0369887,yes
13578,MIR1262,control,SRR926262,OK,1,19.4234,4.279723857,NA,0.00055,0.0470028,yes
4490,CYP2C9,control,SRR926262,OK,1,37.0608,5.211822119,NA,5.00E-05,0.00751333,yes
10672,LINC01159,control,SRR926262,OK,1,40.8796,5.353309175,NA,5.00E-05,0.00751333,yes
22073,SNORD37,control,SRR926262,OK,1,56.3819,5.817160191,NA,5.00E-05,0.00751333,yes
15101,MIR6796,control,SRR926262,OK,1,68.342,6.094700563,NA,4.00E-04,0.0369887,yes
13677,MIR1469,control,SRR926262,OK,1,158.562,7.308903255,NA,4.00E-04,0.0369887,yes
25152,VSTM2B,control,SRR926262,OK,1,174.065,7.443482333,NA,5.00E-05,0.00751333,yes
20200,RPL21,control,SRR926262,OK,2224.55,1,-11.11929781,NA,5.00E-05,0.00751333,yes
13300,MEG3,control,SRR926262,OK,54.7329,0.0747402,-9.51630816,-3.72783,5.00E-04,0.0431388,yes
12837,LUM,control,SRR926262,OK,392.922,1,-8.618099137,NA,5.00E-05,0.00751333,yes
3911,COL3A1,control,SRR926262,OK,242.666,1,-7.922828176,NA,5.00E-05,0.00751333,yes
9034,ISLR,control,SRR926262,OK,229.312,1,-7.841168044,NA,5.00E-05,0.00751333,yes
15213,MIR7111,control,SRR926262,OK,205.462,1,-7.682727783,NA,5.00E-05,0.00751333,yes
14414,MIR4649,control,SRR926262,OK,171.45,1,-7.421644094,NA,5.00E-05,0.00751333,yes
20939,SFRP4,control,SRR926262,OK,166.919,1,-7.383004372,NA,5.00E-05,0.00751333,yes
19913,RNASE1,control,SRR926262,OK,155.46,1,-7.280399611,NA,5.00E-05,0.00751333,yes
20860,SERPINA3,control,SRR926262,OK,151.274,1,-7.241020238,NA,5.00E-05,0.00751333,yes
22108,SNORD58C,control,SRR926262,OK,136.669,1,-7.09454223,NA,4.00E-04,0.0369887,yes
25299,WFDC2,control,SRR926262,OK,132.188,1,-7.046447405,NA,5.00E-05,0.00751333,yes
22115,SNORD63,control,SRR926262,OK,130.437,1,-7.027209355,NA,0.00025,0.0271566,yes
4825,DES,control,SRR926262,OK,116.935,1,-6.869563,NA,5.00E-05,0.00751333,yes
7105,GATA4,control,SRR926262,OK,103.359,1,-6.691520207,NA,5.00E-05,0.00751333,yes
10004,LEFTY2,control,SRR926262,OK,94.7321,1,-6.565781461,NA,5.00E-05,0.00751333,yes
16903,OLFML3,control,SRR926262,OK,86.1842,1,-6.429351502,NA,5.00E-05,0.00751333,yes
16169,NDN,control,SRR926262,OK,70.0584,1,-6.130486135,NA,5.00E-05,0.00751333,yes
8743,IGLL5,control,SRR926262,OK,64.9134,1,-6.020444418,NA,5.00E-05,0.00751333,yes
5583,ELK2AP,control,SRR926262,OK,63.9344,1,-5.998520479,NA,5.00E-05,0.00751333,yes
7960,HBB,control,SRR926262,OK,58.9483,1,-5.881378303,NA,5.00E-05,0.00751333,yes
4131,CRISP3,control,SRR926262,OK,57.4543,1,-5.844342966,NA,5.00E-05,0.00751333,yes
2242,C20orf85,control,SRR926262,OK,55.6288,1,-5.79776008,NA,5.00E-05,0.00751333,yes
2145,C1QB,control,SRR926262,OK,45.8006,1,-5.517294593,NA,5.00E-05,0.00751333,yes
1088,ARHGDIB,control,SRR926262,OK,45.7785,1,-5.516598287,NA,5.00E-05,0.00751333,yes
12978,MAGEH1,control,SRR926262,OK,43.8967,1,-5.456040582,NA,5.00E-05,0.00751333,yes
2147,C1QC,control,SRR926262,OK,41.9824,1,-5.391712738,NA,5.00E-05,0.00751333,yes
7085,GAS1,control,SRR926262,OK,41.4172,1,-5.372158119,NA,5.00E-05,0.00751333,yes
16621,NR2F1,control,SRR926262,OK,41.3064,1,-5.368293425,NA,5.00E-05,0.00751333,yes
18973,PRRX1,control,SRR926262,OK,38.4679,1,-5.265583169,NA,5.00E-05,0.00751333,yes
22476,SPRR2F,control,SRR926262,OK,37.2431,1,-5.218901258,NA,1.00E-04,0.0134567,yes
25307,WFIKKN2,control,SRR926262,OK,31.9503,1,-4.997757572,NA,5.00E-05,0.00751333,yes
524,AIF1,control,SRR926262,OK,31.6995,1,-4.98638818,NA,3.00E-04,0.0312694,yes
21720,SNAI2,control,SRR926262,OK,31.6009,1,-4.981893742,NA,5.00E-05,0.00751333,yes
18343,PLSCR4,control,SRR926262,OK,31.3777,1,-4.971667701,NA,5.00E-05,0.00751333,yes
20634,SCGB2A1,control,SRR926262,OK,30.6386,1,-4.937278471,NA,0.00055,0.0470028,yes
497,AGR3,control,SRR926262,OK,30.3247,1,-4.922421468,NA,5.00E-05,0.00751333,yes
2945,CCL21,control,SRR926262,OK,29.3784,1,-4.876683921,NA,1.00E-04,0.0134567,yes
23677,TMEM150C,control,SRR926262,OK,29.097,1,-4.862798509,NA,5.00E-05,0.00751333,yes
7384,GMPR,control,SRR926262,OK,27.248,1,-4.768078435,NA,5.00E-05,0.00751333,yes
3990,CORO2B,control,SRR926262,OK,25.5309,1,-4.674172491,NA,5.00E-05,0.00751333,yes
2371,C6,control,SRR926262,OK,25.4616,1,-4.670251176,NA,5.00E-05,0.00751333,yes
2941,CCL18,control,SRR926262,OK,25.2778,1,-4.659799002,NA,0.00015,0.018526,yes
16896,OLFM1,control,SRR926262,OK,25.0618,1,-4.647418131,NA,5.00E-05,0.00751333,yes
2468,C9orf24,control,SRR926262,OK,25.0179,1,-4.64488879,NA,5.00E-05,0.00751333,yes
16019,NACAP1,control,SRR926262,OK,25.017,1,-4.644836889,NA,3.00E-04,0.0312694,yes
690,AMHR2,control,SRR926262,OK,24.4032,1,-4.608998436,NA,5.00E-05,0.00751333,yes
12866,LY96,control,SRR926262,OK,23.4786,1,-4.55327448,NA,1.00E-04,0.0134567,yes
4248,CSTA,control,SRR926262,OK,23.4607,1,-4.552174155,NA,0.00025,0.0271566,yes
17835,PDGFRL,control,SRR926262,OK,23.0407,1,-4.526112643,NA,5.00E-05,0.00751333,yes
9968,LCN2,control,SRR926262,OK,21.863,1,-4.450419473,NA,0.00045,0.0397765,yes
4081,CPXM2,control,SRR926262,OK,21.642,1,-4.435761924,NA,5.00E-05,0.00751333,yes
24403,TSPAN7,control,SRR926262,OK,21.4969,1,-4.426056723,NA,5.00E-05,0.00751333,yes
16631,NR5A1,control,SRR926262,OK,20.0792,1,-4.327629885,NA,5.00E-05,0.00751333,yes
19165,PTP4A3,control,SRR926262,OK,19.8836,1,-4.313507081,NA,5.00E-05,0.00751333,yes
