Symbol,Annotated,HMVEC,HUVEC,TIME,zscore,Regulation
THBS4,yes,-0.55,-0.928,,-1.79638186439,Down
HIF3A,no,0.529,0.617,,0.997902328739,
S100A7,yes,0.823,0.309,,0.440854088296,
VTN,no,0.434,-0.333,,-0.720265945355,
IL18,yes,-0.788,0.728,,1.19865672708,
C1GALT1,yes,-0.386,-0.73,0.357,-1.43827942411,
ROR2,no,0.202,0.445,0.12,0.686823441219,
ANGPTL3,yes,0.343,-0.309,,-0.676859588956,
CYFIP1,no,0.588,0.127,0.38,0.111689218943,
CCL4,no,0.365,-0.562,,-1.13443492932,
PF4,yes,0.199,0.125,,0.108072022577,
ANGPT4,yes,0.74,0.245,,0.325103804568,
HOXC9,no,,0.309,,0.440854088296,
HDAC5,yes,0.158,0.826,0.14,1.37589934904,
BMP2,no,0.117,0.008,0.055,-0.103533964864,
F12,no,-0.88,0.935,-0.142,1.57303655101,
ERBB2,yes,-0.49,0.926,-0.598,1.55675916736,
APOH,yes,-0.579,0.535,,0.849597277712,
SDC1,no,0.518,-0.778,,-1.5250921369,
ORM1,no,0.876,0.926,,1.55675916736,
IGFBP1,no,0.586,0.926,,1.55675916736,
STAB1,yes,-0.735,-0.06,,-0.226518641326,
BMP4,yes,-0.119,-0.527,-0.676,-1.07113399291,
CDX4,no,0.008,-0.321,,-0.698562767155,
ACE2,no,-0.966,0.267,,0.364892964599,
GRIN1,no,-0.44,0.535,,0.849597277712,
CALB2,no,-0.169,-0.091,,-0.282585185007,
FOS,no,-0.733,-0.487,-0.365,-0.998790065576,
FABP5,no,,,0.62,,
IL17F,yes,,-0.786,,-1.53956092237,
SEMA3E,no,-0.571,0.0,,-0.11800275033,
SLC12A1,no,-0.254,-0.309,,-0.676859588956,
CEACAM1,yes,0.886,-0.238,,-0.548449117945,
BTBD10,no,,-0.017,,-0.148748919446,
DCN,no,0.587,0.978,,1.65080627289,UP
VHLL,no,,,,,
F3,yes,0.337,0.574,,0.920132606859,
LRP8,no,-0.836,0.911,,1.52963019462,
TGFBRAP1,no,-0.42,-0.61,0.269,-1.22124764212,
NISCH,no,0.331,0.234,0.401,0.305209224552,
EPAS1,no,-0.808,-0.926,-0.528,-1.79276466803,Down
PTHLH,no,0.272,0.941,-0.855,1.58388814011,
HTATIP2,yes,0.719,0.708,0.86,1.16248476342,
TPH2,no,,0.535,,0.849597277712,
CD36,no,0.864,-0.802,,-1.5684984933,
DEFA5,no,-0.287,-0.926,,-1.79276466803,Down
FGF2,yes,-0.482,-0.696,,-1.37678708588,
SLIT2,yes,-0.339,0.673,,1.099183827,
ID1,yes,-0.746,-0.177,-0.086,-0.438124628767,
COL18A1,no,0.797,0.078,0.918,0.0230679079637,
MYH9,yes,-0.6,-0.165,-0.928,-0.416421450568,
ANG,yes,-0.5,0.129,,0.11530641531,
TNXB,no,-0.818,,,,
OTOF,no,0.549,0.253,,0.339572590034,
ATP5B,yes,0.531,0.389,,0.585541942956,
CXorf45,no,,,,,
SLC12A6,yes,0.276,-0.155,-0.274,-0.398335468735,
BCAM,no,0.91,0.022,0.568,-0.0782135902986,
POR,no,-0.855,0.123,-0.073,0.10445482621,
VEGFA,yes,0.18,0.093,,0.0501968807126,
MYF6,no,0.02,0.267,,0.364892964599,
LAMA1,no,0.287,-0.309,,-0.676859588956,
NPR1,yes,-0.315,-0.669,,-1.32795493493,
TNFSF8,no,0.445,0.535,,0.849597277712,
TGFB1,no,-0.296,0.045,0.455,-0.0366158320837,
FBLN2,no,0.255,-0.153,0.604,-0.394718272368,
F7,no,0.836,0.028,,-0.0673620011991,
MORG1,no,,,,,
CDK2AP2,no,-0.802,0.272,,0.373935955515,
ADAM23,no,0.0,-0.133,,-0.358546308703,
ROBO4,yes,-0.957,-0.487,0.19,-0.998790065576,
IL18R1,no,-0.404,-0.653,,-1.299017364,
GHRL,yes,,0.443,,0.683206244852,
F10,no,-0.935,0.031,,-0.0619362066493,
MYOC,no,-0.226,0.121,,0.100837629844,
EFEMP2,no,-0.465,-0.629,-0.185,-1.2556110076,
AMOT,yes,0.14,-0.309,,-0.676859588956,
CXCL9,no,0.16,-0.535,0.393,-1.08560277837,
THBS1,yes,-0.389,-0.732,-0.953,-1.44189662047,
STAB2,yes,0.48,0.267,,0.364892964599,
JUN,no,0.389,0.111,0.602,0.0827516480112,
HOXB3,yes,0.142,-0.168,,-0.421847245117,
DYNC1LI2,no,-0.075,-0.227,0.703,-0.528554537929,
REG3A,no,0.477,,,,
SCARB2,no,0.763,0.648,0.329,1.05396887242,
LTBP1,no,0.964,-0.978,-0.365,-1.88681177355,Down
SDC2,no,-0.717,-0.178,-0.619,-0.43993322695,
IGFBP7,no,-0.958,0.84,0.801,1.4012197236,
PLXDC1,yes,-0.638,-0.267,,-0.60089846526,
HOXA7,yes,0.177,0.889,,1.48984103458,
OVGP1,no,0.591,-0.449,,-0.930063334612,
MAGI1,no,0.506,-0.374,,-0.794418470868,
CASK,no,0.549,-0.13,0.666,-0.353120514154,
ERAP1,yes,0.189,0.802,,1.33249299264,
PZP,no,0.305,0.305,,0.433619695563,
HSPG2,no,-0.652,-0.095,0.956,-0.28981957774,
TWIST1,no,0.145,-0.309,,-0.676859588956,
EMG1,no,-0.702,0.236,,0.308826420918,
NCL,yes,0.532,-0.22,-0.694,-0.515894350647,
LAMA5,yes,0.656,-0.759,-0.301,-1.49072877142,
HOXB13,yes,-0.433,0.0,,-0.11800275033,
IL6R,no,-0.58,0.082,-0.725,0.0303023006968,
TNFRSF12A,no,-0.942,0.631,-0.013,1.0232227033,
ATPAF2,no,-0.644,0.898,-0.307,1.50611841823,
EGR3,no,-0.364,-0.149,,-0.387483879635,
JAG1,yes,0.81,-0.384,-0.928,-0.812504452701,
KLK3,yes,-0.287,-0.309,,-0.676859588956,
BMPER,yes,,-0.927,,-1.79457326621,Down
AMHR2,no,0.583,-0.106,,-0.309714157755,
RELL2,no,,0.926,,1.55675916736,
HIF1A,yes,0.59,0.847,0.894,1.41387991089,
TP73,no,0.332,0.535,,0.849597277712,
EPHB4,yes,-0.459,-0.618,-0.735,-1.23571642758,
TMPRSS6,yes,0.298,0.535,,0.849597277712,
SRF,yes,-0.973,-0.241,,-0.553874912495,
GHSR,no,0.037,-0.77,,-1.51062335144,
SOX18,yes,-0.367,0.116,-0.55,0.0917946389275,
ANTXR2,no,,-0.802,0.805,-1.5684984933,
COL4A3,yes,0.56,-0.267,,-0.60089846526,
AGGF1,yes,0.95,-0.591,,-1.18688427663,
ADCY6,no,0.157,0.869,0.1,1.45366907092,
IL6,yes,-0.825,-0.89,,-1.72765513343,Down
ENAH,no,0.293,-0.267,-0.667,-0.60089846526,
CCR3,yes,0.633,-0.167,,-0.420038646934,
CTGF,no,-0.819,-0.235,-0.888,-0.543023323395,
TCF4,no,-0.669,0.827,0.768,1.37770794722,
ROBO3,no,0.651,-0.099,0.01,-0.297053970473,
FGF5,no,-0.644,0.027,,-0.0691705993823,
FANCB,no,,-0.139,,-0.369397897803,
IL18RAP,no,0.401,-0.086,,-0.27354219409,
GPC1,no,0.026,0.107,-0.131,0.0755172552782,
CCL24,no,0.258,-0.66,,-1.31167755128,
TNFRSF25,no,0.731,-0.287,0.308,-0.637070428925,
SLIT1,no,0.465,-0.175,0.081,-0.4345074324,
TP63,no,-0.703,0.0,,-0.11800275033,
BLVRB,no,-0.812,0.034,0.182,-0.0565104120995,
ANGPT1,yes,0.229,0.422,,0.645225683004,
APP,no,0.852,0.815,0.85,1.35600476902,
PTPRA,no,-0.351,-0.179,-0.26,-0.441741825133,
MNX1,no,-0.913,0.785,,1.30174682353,
ECM1,yes,-0.475,0.31,0.137,0.442662686479,
EN2,no,0.737,0.821,,1.36685635812,
EFNB3,no,0.329,0.879,,1.47175505275,
HDAC9,yes,-0.502,-0.109,,-0.315139952305,
STK39,no,0.923,-0.201,-0.958,-0.481530985165,
HOXA3,yes,0.028,0.01,,-0.0999167684977,
BMP8B,no,-0.486,0.634,,1.02864849785,
VEGFB,yes,-0.87,0.624,0.899,1.01056251602,
SAA1,no,,,0.116,,
PRSS1,no,-0.193,-0.713,,-1.40753325499,
IL18BP,no,-0.34,0.617,0.781,0.997902328739,
VASN,no,,0.926,,1.55675916736,
CDH24,no,,0.45,,0.695866432135,
TNFSF12,yes,0.312,-0.063,,-0.231944435875,
CEACAM3,no,-0.498,0.803,,1.33430159082,
FN1,no,0.39,-0.068,0.301,-0.240987426792,
CHRNA7,yes,,,,,
TDGF1,no,,,,,
FOXG1,no,0.038,0.828,,1.37951654541,
ANGPT2,no,-0.08,0.539,-0.417,0.856831670445,
SDC3,no,-0.597,0.353,0.445,0.520432408359,
PROC,no,0.091,0.981,,1.65623206744,UP
MEF2C,no,0.987,0.822,0.632,1.36866495631,
HOPX,no,-0.663,-0.356,,-0.761863703569,
GHRH,no,0.156,0.535,,0.849597277712,
SPINK5,yes,0.476,-0.926,,-1.79276466803,Down
THBD,no,-0.753,0.946,-0.894,1.59293113103,
FGFRL1,no,,-0.321,,-0.698562767155,
TFPI,no,-0.731,-0.622,,-1.24295082032,
DNAJC7,no,-0.661,0.494,,0.775444752198,
MYOD1,no,-0.501,0.408,,0.619905308438,
AQP1,yes,0.401,-0.834,,-1.62637363517,
CDH17,no,0.112,0.0,,-0.11800275033,
ADIPOQ,no,0.391,0.617,,0.997902328739,
