"regulator_symbol","regulator_id","target_symbol","target_id","database","evidence","confidence"
"STAT3","6774","hsa-miR-181b","MIMAT0000257","transmir","Experimental","High"
"TCF4","6925","hsa-miR-181b","MIMAT0000257","transmir","Experimental","High"
"TGFB1","7040","hsa-miR-181b","MIMAT0000257","transmir","Experimental","High"
