"regulator_symbol","regulator_id","target_symbol","target_id","database","evidence","confidence"
"BPIFA1","51297","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"EP300","2033","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"GEMIN2","8487","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"KAT2B","8850","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"MYC","4609","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"TGFB1","7040","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"ZEB1","6935","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
"ZEB2","9839","hsa-miR-141","MIMAT0000432","transmir","Experimental","High"
