,miRTarBase ID,miRNA,Target Gene,Target Gene (Entrez Gene ID)
3,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
4,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
5,MIRT000006,hsa-miR-146a-5p,CXCR4,7852
61,MIRT000059,hsa-miR-372-3p,MBNL2,10150
64,MIRT000066,hsa-miR-34b-5p,CREB1,1385
65,MIRT000066,hsa-miR-34b-5p,CREB1,1385
84,MIRT000093,hsa-miR-302d-3p,MBNL2,10150
117,MIRT000111,hsa-miR-26a-5p,CCNE2,9134
118,MIRT000111,hsa-miR-26a-5p,CCNE2,9134
210,MIRT000152,hsa-miR-210-3p,HOXA1,3198
214,MIRT000156,hsa-miR-210-3p,RAD52,5893
215,MIRT000156,hsa-miR-210-3p,RAD52,5893
283,MIRT000185,hsa-miR-206,MET,4233
284,MIRT000185,hsa-miR-206,MET,4233
285,MIRT000185,hsa-miR-206,MET,4233
286,MIRT000185,hsa-miR-206,MET,4233
288,MIRT000190,hsa-miR-204-5p,HOXA10,3206
332,MIRT000234,hsa-miR-181c-5p,GATA6,2627
335,MIRT000239,hsa-miR-181b-5p,GATA6,2627
336,MIRT000239,hsa-miR-181b-5p,GATA6,2627
339,MIRT000244,hsa-miR-181a-5p,GATA6,2627
340,MIRT000244,hsa-miR-181a-5p,GATA6,2627
361,MIRT000263,hsa-miR-17-5p,YES1,7525
362,MIRT000263,hsa-miR-17-5p,YES1,7525
366,MIRT000268,hsa-miR-16-5p,CDK1,983
367,MIRT000268,hsa-miR-16-5p,CDK1,983
368,MIRT000268,hsa-miR-16-5p,CDK1,983
372,MIRT000276,hsa-miR-15b-5p,CCNE1,898
373,MIRT000276,hsa-miR-15b-5p,CCNE1,898
374,MIRT000276,hsa-miR-15b-5p,CCNE1,898
375,MIRT000276,hsa-miR-15b-5p,CCNE1,898
376,MIRT000276,hsa-miR-15b-5p,CCNE1,898
377,MIRT000276,hsa-miR-15b-5p,CCNE1,898
439,MIRT000317,hsa-miR-141-3p,ZEB1,6935
440,MIRT000317,hsa-miR-141-3p,ZEB1,6935
441,MIRT000317,hsa-miR-141-3p,ZEB1,6935
442,MIRT000317,hsa-miR-141-3p,ZEB1,6935
443,MIRT000317,hsa-miR-141-3p,ZEB1,6935
444,MIRT000317,hsa-miR-141-3p,ZEB1,6935
463,MIRT000346,hsa-miR-125b-5p,BMPR1B,658
464,MIRT000346,hsa-miR-125b-5p,BMPR1B,658
479,MIRT000372,hsa-miR-106b-5p,ITCH,83737
480,MIRT000372,hsa-miR-106b-5p,ITCH,83737
481,MIRT000372,hsa-miR-106b-5p,ITCH,83737
482,MIRT000372,hsa-miR-106b-5p,ITCH,83737
483,MIRT000372,hsa-miR-106b-5p,ITCH,83737
492,MIRT000379,hsa-miR-101-3p,ATXN1,6310
493,MIRT000379,hsa-miR-101-3p,ATXN1,6310
549,MIRT000445,hsa-miR-29b-3p,SP1,6667
550,MIRT000445,hsa-miR-29b-3p,SP1,6667
551,MIRT000445,hsa-miR-29b-3p,SP1,6667
552,MIRT000445,hsa-miR-29b-3p,SP1,6667
553,MIRT000445,hsa-miR-29b-3p,SP1,6667
572,MIRT000457,hsa-miR-145-5p,MYO6,4646
573,MIRT000458,hsa-miR-143-3p,MYO6,4646
574,MIRT000458,hsa-miR-143-3p,MYO6,4646
596,MIRT000482,hsa-miR-17-5p,JAK1,3716
597,MIRT000482,hsa-miR-17-5p,JAK1,3716
627,MIRT000500,hsa-miR-451a,CAB39,51719
628,MIRT000500,hsa-miR-451a,CAB39,51719
629,MIRT000500,hsa-miR-451a,CAB39,51719
630,MIRT000500,hsa-miR-451a,CAB39,51719
651,MIRT000536,hsa-miR-16-5p,ACVR2A,92
652,MIRT000536,hsa-miR-16-5p,ACVR2A,92
735,MIRT000626,hsa-miR-145-5p,STAT1,6772
736,MIRT000627,hsa-miR-145-5p,YES1,7525
737,MIRT000627,hsa-miR-145-5p,YES1,7525
747,MIRT000635,hsa-miR-224-5p,CXCR4,7852
751,MIRT000637,hsa-miR-181b-5p,TIMP3,7078
752,MIRT000637,hsa-miR-181b-5p,TIMP3,7078
753,MIRT000637,hsa-miR-181b-5p,TIMP3,7078
754,MIRT000637,hsa-miR-181b-5p,TIMP3,7078
756,MIRT000639,hsa-miR-9-5p,POU2F2,5452
765,MIRT000645,hsa-miR-503-5p,CCNE2,9134
766,MIRT000645,hsa-miR-503-5p,CCNE2,9134
767,MIRT000645,hsa-miR-503-5p,CCNE2,9134
768,MIRT000645,hsa-miR-503-5p,CCNE2,9134
769,MIRT000646,hsa-miR-503-5p,CCNE1,898
770,MIRT000646,hsa-miR-503-5p,CCNE1,898
771,MIRT000646,hsa-miR-503-5p,CCNE1,898
788,MIRT000657,hsa-miR-424-5p,KIF23,9493
789,MIRT000657,hsa-miR-424-5p,KIF23,9493
790,MIRT000657,hsa-miR-424-5p,KIF23,9493
791,MIRT000657,hsa-miR-424-5p,KIF23,9493
864,MIRT000708,hsa-let-7a-5p,ITGB3,3690
964,MIRT000757,hsa-miR-34c-5p,MET,4233
965,MIRT000757,hsa-miR-34c-5p,MET,4233
966,MIRT000757,hsa-miR-34c-5p,MET,4233
967,MIRT000757,hsa-miR-34c-5p,MET,4233
968,MIRT000757,hsa-miR-34c-5p,MET,4233
969,MIRT000757,hsa-miR-34c-5p,MET,4233
970,MIRT000758,hsa-miR-34b-5p,MET,4233
971,MIRT000759,hsa-miR-34a-5p,MET,4233
972,MIRT000759,hsa-miR-34a-5p,MET,4233
973,MIRT000759,hsa-miR-34a-5p,MET,4233
974,MIRT000759,hsa-miR-34a-5p,MET,4233
975,MIRT000759,hsa-miR-34a-5p,MET,4233
976,MIRT000759,hsa-miR-34a-5p,MET,4233
977,MIRT000759,hsa-miR-34a-5p,MET,4233
978,MIRT000759,hsa-miR-34a-5p,MET,4233
979,MIRT000759,hsa-miR-34a-5p,MET,4233
980,MIRT000759,hsa-miR-34a-5p,MET,4233
981,MIRT000759,hsa-miR-34a-5p,MET,4233
982,MIRT000759,hsa-miR-34a-5p,MET,4233
983,MIRT000759,hsa-miR-34a-5p,MET,4233
984,MIRT000759,hsa-miR-34a-5p,MET,4233
985,MIRT000759,hsa-miR-34a-5p,MET,4233
1001,MIRT000766,hsa-miR-34c-5p,CCNE2,9134
1002,MIRT000766,hsa-miR-34c-5p,CCNE2,9134
1003,MIRT000767,hsa-miR-34b-5p,CCNE2,9134
1004,MIRT000768,hsa-miR-34a-5p,CCNE2,9134
1005,MIRT000768,hsa-miR-34a-5p,CCNE2,9134
1006,MIRT000768,hsa-miR-34a-5p,CCNE2,9134
1009,MIRT000772,hsa-miR-200a-3p,G3BP2,9908
1037,MIRT000809,hsa-miR-16-5p,PDCD4,27250
1038,MIRT000809,hsa-miR-16-5p,PDCD4,27250
1039,MIRT000810,hsa-miR-15a-5p,PDCD4,27250
1040,MIRT000810,hsa-miR-15a-5p,PDCD4,27250
1041,MIRT000811,hsa-miR-16-5p,RAB21,23011
1042,MIRT000812,hsa-miR-15a-5p,RAB21,23011
1060,MIRT000826,hsa-miR-16-5p,CDC14B,8555
1061,MIRT000827,hsa-miR-15a-5p,CDC14B,8555
1090,MIRT000864,hsa-miR-16-5p,HSDL2,84263
1091,MIRT000865,hsa-miR-15a-5p,HSDL2,84263
1109,MIRT000893,hsa-miR-16-5p,PNN,5411
1110,MIRT000894,hsa-miR-15a-5p,PNN,5411
1128,MIRT000915,hsa-miR-16-5p,UGP2,7360
1129,MIRT000916,hsa-miR-15a-5p,UGP2,7360
1132,MIRT000927,hsa-miR-29c-3p,COL3A1,1281
1133,MIRT000927,hsa-miR-29c-3p,COL3A1,1281
1134,MIRT000927,hsa-miR-29c-3p,COL3A1,1281
1153,MIRT000936,hsa-miR-424-5p,CCNE1,898
1154,MIRT000936,hsa-miR-424-5p,CCNE1,898
1155,MIRT000936,hsa-miR-424-5p,CCNE1,898
1156,MIRT000936,hsa-miR-424-5p,CCNE1,898
1157,MIRT000936,hsa-miR-424-5p,CCNE1,898
1171,MIRT000954,hsa-miR-21-5p,TIMP3,7078
1172,MIRT000954,hsa-miR-21-5p,TIMP3,7078
1173,MIRT000954,hsa-miR-21-5p,TIMP3,7078
1174,MIRT000954,hsa-miR-21-5p,TIMP3,7078
1175,MIRT000954,hsa-miR-21-5p,TIMP3,7078
1183,MIRT000961,hsa-miR-21-5p,MTAP,4507
1184,MIRT000961,hsa-miR-21-5p,MTAP,4507
1185,MIRT000965,hsa-miR-126-3p,CCNE2,9134
1205,MIRT000973,hsa-miR-155-5p,SMAD5,4090
1206,MIRT000973,hsa-miR-155-5p,SMAD5,4090
1207,MIRT000973,hsa-miR-155-5p,SMAD5,4090
1208,MIRT000973,hsa-miR-155-5p,SMAD5,4090
1317,MIRT001057,hsa-miR-218-5p,MBNL2,10150
1378,MIRT001140,hsa-miR-10a-5p,HOXA1,3198
1379,MIRT001140,hsa-miR-10a-5p,HOXA1,3198
1493,MIRT001208,hsa-miR-21-5p,TGFBI,7045
1494,MIRT001208,hsa-miR-21-5p,TGFBI,7045
1507,MIRT001220,hsa-miR-21-5p,LRRFIP1,9208
1508,MIRT001220,hsa-miR-21-5p,LRRFIP1,9208
1523,MIRT001226,hsa-miR-16-5p,CCNE1,898
1524,MIRT001226,hsa-miR-16-5p,CCNE1,898
1525,MIRT001226,hsa-miR-16-5p,CCNE1,898
1526,MIRT001226,hsa-miR-16-5p,CCNE1,898
1527,MIRT001226,hsa-miR-16-5p,CCNE1,898
1528,MIRT001226,hsa-miR-16-5p,CCNE1,898
1529,MIRT001226,hsa-miR-16-5p,CCNE1,898
1530,MIRT001226,hsa-miR-16-5p,CCNE1,898
1531,MIRT001226,hsa-miR-16-5p,CCNE1,898
1532,MIRT001226,hsa-miR-16-5p,CCNE1,898
1533,MIRT001226,hsa-miR-16-5p,CCNE1,898
1540,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1541,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1542,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1543,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1544,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1545,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1546,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1547,MIRT001228,hsa-miR-15a-5p,CCNE1,898
1566,MIRT001323,hsa-miR-1-3p,UNC93B1,81622
1568,MIRT001325,hsa-miR-1-3p,TPM3,7170
1569,MIRT001325,hsa-miR-1-3p,TPM3,7170
1572,MIRT001327,hsa-miR-1-3p,TPM1,7168
1573,MIRT001327,hsa-miR-1-3p,TPM1,7168
1574,MIRT001328,hsa-miR-1-3p,THBS1,7057
1575,MIRT001329,hsa-miR-1-3p,SYNE1,23345
1606,MIRT001350,hsa-miR-1-3p,PICALM,8301
1607,MIRT001350,hsa-miR-1-3p,PICALM,8301
1610,MIRT001352,hsa-miR-1-3p,NRP1,8829
1617,MIRT001357,hsa-miR-1-3p,MET,4233
1618,MIRT001357,hsa-miR-1-3p,MET,4233
1619,MIRT001357,hsa-miR-1-3p,MET,4233
1620,MIRT001357,hsa-miR-1-3p,MET,4233
1621,MIRT001357,hsa-miR-1-3p,MET,4233
1622,MIRT001357,hsa-miR-1-3p,MET,4233
1623,MIRT001357,hsa-miR-1-3p,MET,4233
1624,MIRT001357,hsa-miR-1-3p,MET,4233
1630,MIRT001362,hsa-miR-1-3p,ITGB4,3691
1693,MIRT001403,hsa-miR-16-5p,TPM3,7170
1694,MIRT001403,hsa-miR-16-5p,TPM3,7170
1695,MIRT001403,hsa-miR-16-5p,TPM3,7170
1716,MIRT001411,hsa-miR-16-5p,SPTLC1,10558
1717,MIRT001411,hsa-miR-16-5p,SPTLC1,10558
1796,MIRT001449,hsa-miR-16-5p,ITGA2,3673
1797,MIRT001449,hsa-miR-16-5p,ITGA2,3673
1798,MIRT001449,hsa-miR-16-5p,ITGA2,3673
1799,MIRT001449,hsa-miR-16-5p,ITGA2,3673
1820,MIRT001465,hsa-miR-16-5p,GFM1,85476
1834,MIRT001474,hsa-miR-16-5p,CACNA2D1,781
1888,MIRT001504,hsa-miR-155-5p,SCAMP1,9522
1917,MIRT001525,hsa-miR-155-5p,PICALM,8301
1918,MIRT001525,hsa-miR-155-5p,PICALM,8301
1919,MIRT001525,hsa-miR-155-5p,PICALM,8301
1943,MIRT001543,hsa-miR-155-5p,UFL1,23376
1994,MIRT001572,hsa-miR-155-5p,ANKFY1,51479
2008,MIRT001586,hsa-let-7b-5p,THBS1,7057
2009,MIRT001586,hsa-let-7b-5p,THBS1,7057
2010,MIRT001587,hsa-let-7b-5p,TAF9B,51616
2013,MIRT001590,hsa-let-7b-5p,SNAP23,8773
2034,MIRT001609,hsa-let-7b-5p,PGRMC1,10857
2035,MIRT001609,hsa-let-7b-5p,PGRMC1,10857
2074,MIRT001633,hsa-let-7b-5p,FAM105A,54491
2075,MIRT001633,hsa-let-7b-5p,FAM105A,54491
2076,MIRT001633,hsa-let-7b-5p,FAM105A,54491
2077,MIRT001633,hsa-let-7b-5p,FAM105A,54491
2085,MIRT001639,hsa-let-7b-5p,DHX57,90957
2086,MIRT001639,hsa-let-7b-5p,DHX57,90957
2112,MIRT001743,hsa-miR-429,ZEB1,6935
2113,MIRT001743,hsa-miR-429,ZEB1,6935
2114,MIRT001743,hsa-miR-429,ZEB1,6935
2115,MIRT001743,hsa-miR-429,ZEB1,6935
2116,MIRT001743,hsa-miR-429,ZEB1,6935
2117,MIRT001743,hsa-miR-429,ZEB1,6935
2119,MIRT001746,hsa-miR-376a-5p,TTK,7272
2155,MIRT001763,hsa-miR-30a-3p,THBS1,7057
2200,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2201,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2202,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2203,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2204,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2205,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2206,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2207,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2208,MIRT001783,hsa-miR-20b-5p,MYLIP,29116
2219,MIRT001788,hsa-miR-206,UTRN,7402
2249,MIRT001804,hsa-miR-155-5p,MATR3,9782
2273,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2274,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2275,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2276,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2277,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2278,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2279,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2280,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2281,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2282,MIRT001838,hsa-miR-106a-5p,MYLIP,29116
2301,MIRT001853,hsa-let-7a-5p,NF2,4771
2337,MIRT001929,hsa-miR-29c-3p,GAPDH,2597
2362,MIRT001969,hsa-miR-199a-3p,MET,4233
2363,MIRT001969,hsa-miR-199a-3p,MET,4233
2364,MIRT001969,hsa-miR-199a-3p,MET,4233
2365,MIRT001969,hsa-miR-199a-3p,MET,4233
2368,MIRT001980,hsa-miR-21-5p,TPM1,7168
2369,MIRT001980,hsa-miR-21-5p,TPM1,7168
2370,MIRT001980,hsa-miR-21-5p,TPM1,7168
2371,MIRT001980,hsa-miR-21-5p,TPM1,7168
2372,MIRT001980,hsa-miR-21-5p,TPM1,7168
2408,MIRT002018,hsa-miR-24-3p,DHFR,1719
2409,MIRT002018,hsa-miR-24-3p,DHFR,1719
2453,MIRT002090,hsa-miR-21-5p,NFIB,4781
2495,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2496,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2497,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2498,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2499,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2500,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2501,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2502,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2503,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2504,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2505,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2506,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2507,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2508,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2509,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2510,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2511,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2512,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2513,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2514,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2515,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2516,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2517,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2518,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2519,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2520,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2521,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2522,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2523,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2524,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2525,MIRT002286,hsa-miR-200c-3p,ZEB1,6935
2602,MIRT002394,hsa-miR-125b-5p,BAK1,578
2603,MIRT002394,hsa-miR-125b-5p,BAK1,578
2604,MIRT002394,hsa-miR-125b-5p,BAK1,578
2605,MIRT002394,hsa-miR-125b-5p,BAK1,578
2606,MIRT002394,hsa-miR-125b-5p,BAK1,578
2612,MIRT002403,hsa-miR-27a-3p,SP1,6667
2613,MIRT002403,hsa-miR-27a-3p,SP1,6667
2614,MIRT002403,hsa-miR-27a-3p,SP1,6667
2615,MIRT002403,hsa-miR-27a-3p,SP1,6667
2617,MIRT002407,hsa-miR-21-5p,RP2,6102
2660,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2661,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2662,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2663,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2664,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2665,MIRT002478,hsa-miR-205-5p,ZEB1,6935
2666,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2667,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2668,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2669,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2670,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2671,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2672,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2673,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2674,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2675,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2676,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2677,MIRT002480,hsa-miR-200a-3p,ZEB1,6935
2679,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2680,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2681,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2682,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2683,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2684,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2685,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2686,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2687,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2688,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2689,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2690,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2691,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2692,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2693,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2694,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2695,MIRT002483,hsa-miR-200b-3p,ZEB1,6935
2717,MIRT002495,hsa-miR-373-3p,KIF23,9493
2728,MIRT002510,hsa-miR-373-3p,LMNB1,4001
2737,MIRT002522,hsa-miR-373-3p,STX11,8676
2747,MIRT002533,hsa-miR-373-3p,BAZ1A,11177
2749,MIRT002535,hsa-miR-373-3p,NIN,51199
2755,MIRT002541,hsa-miR-373-3p,STK4,6789
2765,MIRT002555,hsa-miR-373-3p,ADAM9,8754
2772,MIRT002563,hsa-miR-124-3p,CDC14B,8555
2773,MIRT002563,hsa-miR-124-3p,CDC14B,8555
2787,MIRT002571,hsa-miR-124-3p,LMNB1,4001
2788,MIRT002571,hsa-miR-124-3p,LMNB1,4001
2789,MIRT002571,hsa-miR-124-3p,LMNB1,4001
2823,MIRT002595,hsa-miR-124-3p,USP48,84196
2831,MIRT002600,hsa-miR-124-3p,SMAD5,4090
2849,MIRT002612,hsa-miR-124-3p,MAN2A1,4124
2850,MIRT002612,hsa-miR-124-3p,MAN2A1,4124
2937,MIRT002660,hsa-miR-124-3p,SP1,6667
2938,MIRT002660,hsa-miR-124-3p,SP1,6667
2939,MIRT002660,hsa-miR-124-3p,SP1,6667
2940,MIRT002662,hsa-miR-124-3p,ACAA2,10449
2941,MIRT002662,hsa-miR-124-3p,ACAA2,10449
2942,MIRT002662,hsa-miR-124-3p,ACAA2,10449
2966,MIRT002678,hsa-miR-124-3p,F11R,50848
2967,MIRT002678,hsa-miR-124-3p,F11R,50848
2979,MIRT002692,hsa-miR-124-3p,TRIP11,9321
2987,MIRT002697,hsa-miR-124-3p,IQGAP1,8826
2988,MIRT002697,hsa-miR-124-3p,IQGAP1,8826
2989,MIRT002697,hsa-miR-124-3p,IQGAP1,8826
2990,MIRT002697,hsa-miR-124-3p,IQGAP1,8826
2991,MIRT002697,hsa-miR-124-3p,IQGAP1,8826
3116,MIRT002785,hsa-miR-1-3p,PDCD4,27250
3117,MIRT002785,hsa-miR-1-3p,PDCD4,27250
3159,MIRT002807,hsa-miR-1-3p,TIMP3,7078
3160,MIRT002807,hsa-miR-1-3p,TIMP3,7078
3177,MIRT002817,hsa-miR-1-3p,PXYLP1,92370
3178,MIRT002817,hsa-miR-1-3p,PXYLP1,92370
3316,MIRT003010,hsa-miR-20a-5p,MAP3K12,7786
3319,MIRT003013,hsa-miR-17-5p,MAP3K12,7786
3359,MIRT003039,hsa-miR-338-3p,NOVA1,4857
3370,MIRT003050,hsa-let-7i-5p,TLR4,7099
3374,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3375,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3376,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3377,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3378,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3379,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3380,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3381,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3382,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3383,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3384,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3385,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3386,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3387,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3388,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3389,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3390,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3391,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3392,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3393,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3394,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3395,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3396,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3397,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3398,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3399,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3400,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3401,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3402,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3403,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3404,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3405,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3406,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3407,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3408,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3409,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3410,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3411,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3412,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3413,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3414,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3415,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3416,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3417,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3418,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3419,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3420,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3421,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3422,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3423,MIRT003054,hsa-miR-21-5p,PDCD4,27250
3437,MIRT003087,hsa-miR-122-5p,RAB11FIP1,80223
3438,MIRT003087,hsa-miR-122-5p,RAB11FIP1,80223
3441,MIRT003090,hsa-miR-122-5p,NCAM1,4684
3442,MIRT003090,hsa-miR-122-5p,NCAM1,4684
3443,MIRT003090,hsa-miR-122-5p,NCAM1,4684
3455,MIRT003102,hsa-miR-122-5p,GALNT10,55568
3456,MIRT003102,hsa-miR-122-5p,GALNT10,55568
3486,MIRT003159,hsa-miR-210-3p,NCAM1,4684
3505,MIRT003172,hsa-miR-210-3p,TNPO1,3842
3506,MIRT003173,hsa-miR-210-3p,SMCHD1,23347
3514,MIRT003181,hsa-miR-210-3p,CHD9,80205
3596,MIRT003239,hsa-miR-205-5p,MED1,5469
3597,MIRT003239,hsa-miR-205-5p,MED1,5469
3598,MIRT003239,hsa-miR-205-5p,MED1,5469
3689,MIRT003339,hsa-miR-30e-5p,UBE2I,7329
3707,MIRT003362,hsa-miR-221-3p,DKK2,27123
3708,MIRT003362,hsa-miR-221-3p,DKK2,27123
3709,MIRT003363,hsa-miR-221-3p,CREBZF,58487
3779,MIRT003451,hsa-miR-222-3p,TIMP3,7078
3780,MIRT003451,hsa-miR-222-3p,TIMP3,7078
3781,MIRT003451,hsa-miR-222-3p,TIMP3,7078
3782,MIRT003451,hsa-miR-222-3p,TIMP3,7078
3783,MIRT003452,hsa-miR-221-3p,TIMP3,7078
3784,MIRT003452,hsa-miR-221-3p,TIMP3,7078
3785,MIRT003452,hsa-miR-221-3p,TIMP3,7078
3786,MIRT003452,hsa-miR-221-3p,TIMP3,7078
