,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
9324,KCNU1,control,SRR926256,OK,1,4.30388,2.105637853,NA,5.00E-05,0.00420814,yes
12947,MAGEA12,control,SRR926256,OK,1,4.57988,2.195309798,NA,2.00E-04,0.0139192,yes
19024,PSG1,control,SRR926256,OK,1,4.89323,2.290787096,NA,1.00E-04,0.00797137,yes
22959,SYT16,control,SRR926256,OK,1,5.59213,2.483397899,NA,5.00E-05,0.00420814,yes
22074,SNORD38A,control,SRR926256,OK,97.6579,548.796,2.490461306,0.0074747,0.001,0.0441341,yes
22115,SNORD63,control,SRR926256,OK,117.138,918.864,2.971642178,0.0137175,0.00075,0.036384,yes
23911,TMPRSS15,control,SRR926256,OK,1,8.78932,3.135751553,NA,5.00E-05,0.00420814,yes
20876,SERPINB7,control,SRR926256,OK,1,9.06383,3.180120802,NA,5.00E-05,0.00420814,yes
7961,HBBP1,control,SRR926256,OK,1,10.097,3.335854801,NA,6.00E-04,0.0308437,yes
12950,MAGEA3,control,SRR926256,OK,1,11.1987,3.485259362,NA,5.00E-05,0.00420814,yes
11681,LOC101927865,control,SRR926256,OK,1,13.2642,3.72946576,NA,0.00015,0.0111698,yes
8718,IGF2BP1,control,SRR926256,OK,1,18.1119,4.178865993,NA,5.00E-05,0.00420814,yes
15536,MPP4,control,SRR926256,OK,1,23.5557,4.5580043,NA,5.00E-05,0.00420814,yes
22157,SNORD97,control,SRR926256,OK,1,30.7362,4.941866907,NA,2.00E-04,0.0139192,yes
21877,SNORA75,control,SRR926256,OK,1,40.0093,5.322263482,NA,1.00E-04,0.00797137,yes
22039,SNORD15A,control,SRR926256,OK,1,41.5286,5.376033332,NA,4.00E-04,0.0242886,yes
19029,PSG4,control,SRR926256,OK,1,42.1248,5.396597932,NA,5.00E-05,0.00420814,yes
21837,SNORA52,control,SRR926256,OK,1,45.645,5.512384929,NA,5.00E-04,0.0272515,yes
21800,SNORA19,control,SRR926256,OK,1,56.7417,5.82633747,NA,2.00E-04,0.0139192,yes
10439,LINC00704,control,SRR926256,OK,1,61.9634,5.953344403,NA,5.00E-05,0.00420814,yes
20973,SGOL1,control,SRR926256,OK,0.186339,13.2356,6.150350131,3.50001,0.00095,0.0430833,yes
9784,KRTAP2-3,control,SRR926256,OK,1,86.5311,6.435146837,NA,5.00E-05,0.00420814,yes
21794,SNORA14B,control,SRR926256,OK,1,87.5398,6.451867183,NA,0.00075,0.036384,yes
21802,SNORA21,control,SRR926256,OK,1,95.0246,6.570229142,NA,0.00105,0.0453455,yes
21858,SNORA68,control,SRR926256,OK,1,95.0246,6.570229142,NA,2.00E-04,0.0139192,yes
15202,MIR7-1,control,SRR926256,OK,1,95.3419,6.575038471,NA,5.00E-05,0.00420814,yes
21872,SNORA72,control,SRR926256,OK,1,98.7409,6.62557589,NA,0.00045,0.0259323,yes
20607,SCARNA27,control,SRR926256,OK,1,120.84,6.916954279,NA,0.0011,0.0470556,yes
22088,SNORD46,control,SRR926256,OK,1,125.025,6.966072795,NA,5.00E-05,0.00420814,yes
13563,MIR1254-1,control,SRR926256,OK,1,128.265,7.002983742,NA,6.00E-04,0.0308437,yes
14930,MIR616,control,SRR926256,OK,1,135.052,7.077371195,NA,5.00E-05,0.00420814,yes
21907,SNORD111,control,SRR926256,OK,1,138.61,7.114887534,NA,8.00E-04,0.0375026,yes
21823,SNORA38,control,SRR926256,OK,1,148.111,7.210534981,NA,0.00035,0.0217637,yes
22035,SNORD14B,control,SRR926256,OK,1,150.042,7.229222589,NA,6.00E-04,0.0308437,yes
22023,SNORD12,control,SRR926256,OK,1,154.127,7.267975805,NA,0.00055,0.0294445,yes
22037,SNORD14D,control,SRR926256,OK,1,167.314,7.386414358,NA,2.00E-04,0.0139192,yes
22069,SNORD35B,control,SRR926256,OK,1,167.314,7.386414358,NA,0.00035,0.0217637,yes
13823,MIR28,control,SRR926256,OK,1,172.044,7.426633769,NA,5.00E-04,0.0272515,yes
