,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
3842,CNRIP1,control,SRR926257,OK,30.0592,1,-4.909734709,NA,5.00E-05,0.00349593,yes
3054,CD248,control,SRR926257,OK,29.9492,1,-4.904445561,NA,5.00E-05,0.00349593,yes
524,AIF1,control,SRR926257,OK,29.865,1,-4.900383817,NA,5.00E-05,0.00349593,yes
20770,SELENBP1,control,SRR926257,OK,29.1978,1,-4.867787764,NA,5.00E-05,0.00349593,yes
15565,MRGPRF,control,SRR926257,OK,28.9006,1,-4.853027539,NA,5.00E-05,0.00349593,yes
20634,SCGB2A1,control,SRR926257,OK,28.8657,1,-4.851284306,NA,5.00E-05,0.00349593,yes
497,AGR3,control,SRR926257,OK,28.57,1,-4.836429131,NA,5.00E-05,0.00349593,yes
6115,FAM183A,control,SRR926257,OK,28.2351,1,-4.819417836,NA,0.00075,0.0326793,yes
2945,CCL21,control,SRR926257,OK,27.6784,1,-4.790688643,NA,5.00E-05,0.00349593,yes
13407,MGARP,control,SRR926257,OK,27.2088,1,-4.766001425,NA,5.00E-05,0.00349593,yes
166,ACKR1,control,SRR926257,OK,26.6684,1,-4.737059366,NA,5.00E-05,0.00349593,yes
24421,TSPYL5,control,SRR926257,OK,26.3842,1,-4.721602335,NA,5.00E-05,0.00349593,yes
3892,COL15A1,control,SRR926257,OK,25.6675,1,-4.68187088,NA,5.00E-05,0.00349593,yes
8570,HTRA3,control,SRR926257,OK,25.163,1,-4.653232029,NA,5.00E-05,0.00349593,yes
20470,S100A9,control,SRR926257,OK,25.003,1,-4.644029303,NA,0.00055,0.0253746,yes
24597,TWIST2,control,SRR926257,OK,24.472,1,-4.613060107,NA,5.00E-05,0.00349593,yes
20862,SERPINA5,control,SRR926257,OK,24.3656,1,-4.606773844,NA,5.00E-05,0.00349593,yes
18516,POSTN,control,SRR926257,OK,24.2414,1,-4.599401115,NA,5.00E-05,0.00349593,yes
2371,C6,control,SRR926257,OK,23.9883,1,-4.584259015,NA,5.00E-05,0.00349593,yes
2941,CCL18,control,SRR926257,OK,23.8151,1,-4.573804702,NA,5.00E-05,0.00349593,yes
16896,OLFM1,control,SRR926257,OK,23.6116,1,-4.561423902,NA,5.00E-05,0.00349593,yes
690,AMHR2,control,SRR926257,OK,22.9911,1,-4.523003588,NA,5.00E-05,0.00349593,yes
9981,LDB2,control,SRR926257,OK,21.916,1,-4.453912604,NA,5.00E-05,0.00349593,yes
20469,S100A8,control,SRR926257,OK,21.7112,1,-4.440367562,NA,5.00E-04,0.023988,yes
4081,CPXM2,control,SRR926257,OK,20.3897,1,-4.349768644,NA,5.00E-05,0.00349593,yes
12396,LOC400043,control,SRR926257,OK,20.0785,1,-4.327579589,NA,5.00E-05,0.00349593,yes
15198,MIR6892,control,SRR926257,OK,19.9581,1,-4.318902478,NA,0.00065,0.0290952,yes
496,AGR2,control,SRR926257,OK,19.8045,1,-4.307756373,NA,5.00E-05,0.00349593,yes
6161,FAM20C,control,SRR926257,OK,19.7854,1,-4.306364327,NA,5.00E-05,0.00349593,yes
3920,COL5A1,control,SRR926257,OK,19.6405,1,-4.295759753,NA,5.00E-05,0.00349593,yes
8246,HLA-DRB5,control,SRR926257,OK,19.4772,1,-4.283714389,NA,5.00E-05,0.00349593,yes
1184,ARMCX6,control,SRR926257,OK,18.982,1,-4.246560102,NA,5.00E-05,0.00349593,yes
16631,NR5A1,control,SRR926257,OK,18.9174,1,-4.241641914,NA,5.00E-05,0.00349593,yes
5836,ESR1,control,SRR926257,OK,18.8338,1,-4.235252209,NA,5.00E-05,0.00349593,yes
19256,PXDN,control,SRR926257,OK,18.7915,1,-4.232008327,NA,5.00E-05,0.00349593,yes
3244,CDO1,control,SRR926257,OK,18.7817,1,-4.231255747,NA,5.00E-05,0.00349593,yes
5196,DPT,control,SRR926257,OK,18.7125,1,-4.225930411,NA,5.00E-05,0.00349593,yes
934,APCDD1,control,SRR926257,OK,18.3393,1,-4.196866668,NA,5.00E-05,0.00349593,yes
13291,MEDAG,control,SRR926257,OK,17.8286,1,-4.156121514,NA,5.00E-05,0.00349593,yes
18830,PRKCDBP,control,SRR926257,OK,17.0287,1,-4.089896396,NA,5.00E-05,0.00349593,yes
19451,RAMP1,control,SRR926257,OK,17.0272,1,-4.089769309,NA,5.00E-05,0.00349593,yes
23621,TMEM100,control,SRR926257,OK,16.9692,1,-4.084846647,NA,5.00E-05,0.00349593,yes
5434,EFCAB1,control,SRR926257,OK,16.6975,1,-4.061560209,NA,5.00E-05,0.00349593,yes
21661,SMIM10,control,SRR926257,OK,16.625,1,-4.055282436,NA,5.00E-05,0.00349593,yes
18346,PLVAP,control,SRR926257,OK,16.4109,1,-4.036582456,NA,5.00E-05,0.00349593,yes
21255,SLC24A3,control,SRR926257,OK,16.2881,1,-4.025746419,NA,5.00E-05,0.00349593,yes
4080,CPXM1,control,SRR926257,OK,16.2554,1,-4.022847152,NA,5.00E-05,0.00349593,yes
8533,HSPB7,control,SRR926257,OK,15.9943,1,-3.999485948,NA,5.00E-05,0.00349593,yes
16674,NRXN2,control,SRR926257,OK,15.8172,1,-3.983422328,NA,5.00E-05,0.00349593,yes
19005,PRTFDC1,control,SRR926257,OK,15.7388,1,-3.976253642,NA,5.00E-05,0.00349593,yes
23174,TBX3,control,SRR926257,OK,15.5741,1,-3.96107689,NA,5.00E-05,0.00349593,yes
8473,HSD11B1,control,SRR926257,OK,15.1769,1,-3.923805234,NA,5.00E-05,0.00349593,yes
13439,MGMT,control,SRR926257,OK,14.542,1,-3.862153795,NA,5.00E-05,0.00349593,yes
22875,SUSD3,control,SRR926257,OK,14.5075,1,-3.858727024,NA,5.00E-05,0.00349593,yes
5704,EPB41L3,control,SRR926257,OK,14.1773,1,-3.825510899,NA,5.00E-05,0.00349593,yes
8238,HLA-DQA1,control,SRR926257,OK,14.1045,1,-3.818083619,NA,5.00E-05,0.00349593,yes
15687,MS4A8,control,SRR926257,OK,13.9808,1,-3.805375011,NA,5.00E-05,0.00349593,yes
7039,GALC,control,SRR926257,OK,13.6869,1,-3.774723817,NA,5.00E-05,0.00349593,yes
21801,SNORA20,control,SRR926257,OK,13.5125,1,-3.756222713,NA,8.00E-04,0.0341972,yes
20686,SCUBE1,control,SRR926257,OK,13.4657,1,-3.751217324,NA,5.00E-05,0.00349593,yes
9093,ITLN1,control,SRR926257,OK,13.4583,1,-3.750424281,NA,5.00E-05,0.00349593,yes
2643,CAPSL,control,SRR926257,OK,13.396,1,-3.743730376,NA,5.00E-05,0.00349593,yes
7256,GIMAP4,control,SRR926257,OK,13.1626,1,-3.718372587,NA,5.00E-05,0.00349593,yes
5869,EVA1C,control,SRR926257,OK,13.0406,1,-3.704938345,NA,5.00E-05,0.00349593,yes
5936,F13A1,control,SRR926257,OK,12.9406,1,-3.693832605,NA,5.00E-05,0.00349593,yes
18202,PKNOX2,control,SRR926257,OK,12.8639,1,-3.685256191,NA,5.00E-05,0.00349593,yes
5597,ELN,control,SRR926257,OK,12.7075,1,-3.667608326,NA,5.00E-05,0.00349593,yes
6486,FCGR3A,control,SRR926257,OK,12.5695,1,-3.651855357,NA,5.00E-05,0.00349593,yes
25210,WBSCR17,control,SRR926257,OK,12.5327,1,-3.647625352,NA,5.00E-05,0.00349593,yes
15508,MORN5,control,SRR926257,OK,12.4804,1,-3.641592269,NA,0.00065,0.0290952,yes
15684,MS4A6A,control,SRR926257,OK,12.4629,1,-3.639567904,NA,5.00E-05,0.00349593,yes
23217,TCF23,control,SRR926257,OK,12.4502,1,-3.638097013,NA,5.00E-05,0.00349593,yes
8352,HOPX,control,SRR926257,OK,12.4108,1,-3.633524209,NA,0.00035,0.0182475,yes
3396,CES1,control,SRR926257,OK,12.2037,1,-3.609246715,NA,5.00E-05,0.00349593,yes
16248,NEFH,control,SRR926257,OK,12.1466,1,-3.602480635,NA,5.00E-05,0.00349593,yes
23783,TMEM246,control,SRR926257,OK,12.0668,1,-3.592971233,NA,5.00E-05,0.00349593,yes
26275,ZNF844,control,SRR926257,OK,11.8165,1,-3.562730873,NA,5.00E-05,0.00349593,yes
5394,ECSCR,control,SRR926257,OK,11.2901,1,-3.496986359,NA,3.00E-04,0.0161543,yes
2274,C2orf40,control,SRR926257,OK,11.1709,1,-3.481673518,NA,4.00E-04,0.0200433,yes
6145,FAM19A5,control,SRR926257,OK,11.0674,1,-3.468244433,NA,5.00E-05,0.00349593,yes
6605,FIBIN,control,SRR926257,OK,10.9165,1,-3.448438475,NA,5.00E-05,0.00349593,yes
11389,LOC100507387,control,SRR926257,OK,10.9089,1,-3.44743373,NA,2.00E-04,0.0115265,yes
426,ADRA2A,control,SRR926257,OK,10.8841,1,-3.444150212,NA,5.00E-05,0.00349593,yes
16746,NUDT10,control,SRR926257,OK,10.7296,1,-3.423524388,NA,5.00E-05,0.00349593,yes
7764,GSPT2,control,SRR926257,OK,10.6634,1,-3.414595606,NA,5.00E-05,0.00349593,yes
8839,IL33,control,SRR926257,OK,10.5737,1,-3.402408395,NA,5.00E-05,0.00349593,yes
2327,C4BPB,control,SRR926257,OK,10.5693,1,-3.401807926,NA,5.00E-05,0.00349593,yes
4543,CYYR1,control,SRR926257,OK,10.3115,1,-3.36618231,NA,5.00E-05,0.00349593,yes
16455,NME5,control,SRR926257,OK,10.1144,1,-3.338338835,NA,1.00E-04,0.00655964,yes
26005,ZNF518B,control,SRR926257,OK,9.98171,1,-3.31928699,NA,5.00E-05,0.00349593,yes
23288,TEKT1,control,SRR926257,OK,9.962,1,-3.316435411,NA,5.00E-05,0.00349593,yes
168,ACKR3,control,SRR926257,OK,9.87635,1,-3.303977964,NA,5.00E-05,0.00349593,yes
5466,EFS,control,SRR926257,OK,9.77855,1,-3.289620553,NA,5.00E-05,0.00349593,yes
12813,LSP1,control,SRR926257,OK,9.65192,1,-3.270815958,NA,1.00E-04,0.00655964,yes
7306,GLB1L2,control,SRR926257,OK,9.64116,1,-3.269206738,NA,5.00E-05,0.00349593,yes
18228,PLA2G5,control,SRR926257,OK,9.22589,1,-3.205688091,NA,5.00E-05,0.00349593,yes
19760,RGMA,control,SRR926257,OK,9.17273,1,-3.197351175,NA,5.00E-05,0.00349593,yes
4915,DIO3,control,SRR926257,OK,9.15858,1,-3.195123932,NA,5.00E-05,0.00349593,yes
1695,BEX5,control,SRR926257,OK,9.12413,1,-3.189687002,NA,0.00035,0.0182475,yes
18507,PON3,control,SRR926257,OK,9.08668,1,-3.183753273,NA,0.00015,0.00908003,yes
3775,CMAHP,control,SRR926257,OK,9.08057,1,-3.18278286,NA,5.00E-05,0.00349593,yes
8060,HEPH,control,SRR926257,OK,9.05122,1,-3.178112264,NA,5.00E-05,0.00349593,yes
7926,HAND2,control,SRR926257,OK,8.97949,1,-3.166633508,NA,5.00E-05,0.00349593,yes
5962,FABP4,control,SRR926257,OK,8.78272,1,-3.13466781,NA,0.00055,0.0253746,yes
7884,H19,control,SRR926257,OK,8.67731,1,-3.117247871,NA,5.00E-05,0.00349593,yes
2651,CARD16,control,SRR926257,OK,8.66332,1,-3.114920008,NA,0.00045,0.022301,yes
8460,HS3ST2,control,SRR926257,OK,8.50607,1,-3.088492728,NA,5.00E-05,0.00349593,yes
7959,HBA2,control,SRR926257,OK,8.40881,1,-3.071901647,NA,0.0013,0.049474,yes
4075,CPT1C,control,SRR926257,OK,8.25543,1,-3.045343363,NA,5.00E-05,0.00349593,yes
7009,GADD45G,control,SRR926257,OK,8.22722,1,-3.040405022,NA,5.00E-05,0.00349593,yes
7278,GJA4,control,SRR926257,OK,8.15563,1,-3.027796325,NA,5.00E-05,0.00349593,yes
22418,SPI1,control,SRR926257,OK,8.03344,1,-3.006017897,NA,5.00E-05,0.00349593,yes
8093,HEYL,control,SRR926257,OK,7.98059,1,-2.996495408,NA,5.00E-05,0.00349593,yes
16305,NFASC,control,SRR926257,OK,7.93077,1,-2.987460944,NA,5.00E-05,0.00349593,yes
3719,CLIC6,control,SRR926257,OK,7.91525,1,-2.984634918,NA,5.00E-05,0.00349593,yes
25585,ZCCHC12,control,SRR926257,OK,7.86776,1,-2.97595295,NA,5.00E-05,0.00349593,yes
12872,LYNX1,control,SRR926257,OK,7.75673,1,-2.955448584,NA,5.00E-05,0.00349593,yes
25082,VIT,control,SRR926257,OK,7.65152,1,-2.935746372,NA,5.00E-05,0.00349593,yes
12912,MAATS1,control,SRR926257,OK,7.62273,1,-2.930307776,NA,5.00E-05,0.00349593,yes
15682,MS4A4A,control,SRR926257,OK,7.57996,1,-2.922190235,NA,5.00E-05,0.00349593,yes
19774,RGS1,control,SRR926257,OK,7.57732,1,-2.921687676,NA,0.00035,0.0182475,yes
12942,MAG,control,SRR926257,OK,7.54479,1,-2.915480746,NA,5.00E-05,0.00349593,yes
25146,VSIG4,control,SRR926257,OK,7.52465,1,-2.911624478,NA,5.00E-05,0.00349593,yes
12640,LPL,control,SRR926257,OK,7.49626,1,-2.906170992,NA,5.00E-05,0.00349593,yes
7767,GSTA1,control,SRR926257,OK,7.2897,1,-2.865859443,NA,5.00E-04,0.023988,yes
3184,CDH5,control,SRR926257,OK,7.2861,1,-2.865146796,NA,5.00E-05,0.00349593,yes
3086,CD48,control,SRR926257,OK,7.25941,1,-2.8598523,NA,5.00E-05,0.00349593,yes
6054,FAM150B,control,SRR926257,OK,7.16142,1,-2.84024568,NA,5.00E-05,0.00349593,yes
7537,GPC6,control,SRR926257,OK,7.1433,1,-2.836590712,NA,5.00E-05,0.00349593,yes
125,ABO,control,SRR926257,OK,6.90057,1,-2.786715536,NA,5.00E-05,0.00349593,yes
7258,GIMAP6,control,SRR926257,OK,6.89341,1,-2.785217825,NA,5.00E-05,0.00349593,yes
5730,EPHB3,control,SRR926257,OK,6.852,1,-2.776525151,NA,5.00E-05,0.00349593,yes
23195,TCEAL5,control,SRR926257,OK,6.80977,1,-2.767606072,NA,2.00E-04,0.0115265,yes
17806,PDE1B,control,SRR926257,OK,6.60843,1,-2.724307564,NA,5.00E-05,0.00349593,yes
871,ANXA13,control,SRR926257,OK,6.52212,1,-2.705340985,NA,1.00E-04,0.00655964,yes
844,ANO1,control,SRR926257,OK,6.43163,1,-2.685184413,NA,5.00E-05,0.00349593,yes
4467,CYP19A1,control,SRR926257,OK,6.37603,1,-2.672658417,NA,5.00E-05,0.00349593,yes
2736,CBLN4,control,SRR926257,OK,6.23214,1,-2.639727643,NA,5.00E-05,0.00349593,yes
3684,CLEC14A,control,SRR926257,OK,6.21958,1,-2.63681716,NA,5.00E-05,0.00349593,yes
7259,GIMAP7,control,SRR926257,OK,6.21432,1,-2.635596533,NA,0.00055,0.0253746,yes
6547,FGD5,control,SRR926257,OK,6.19889,1,-2.632009903,NA,5.00E-05,0.00349593,yes
7126,GBGT1,control,SRR926257,OK,6.19762,1,-2.6317143,NA,5.00E-05,0.00349593,yes
24749,UBXN10,control,SRR926257,OK,6.16928,1,-2.625102126,NA,5.00E-05,0.00349593,yes
21329,SLC27A6,control,SRR926257,OK,6.14394,1,-2.619164127,NA,5.00E-05,0.00349593,yes
19454,RAMP3,control,SRR926257,OK,6.11202,1,-2.611649264,NA,5.00E-05,0.00349593,yes
6757,FOLR2,control,SRR926257,OK,5.92084,1,-2.565801868,NA,5.00E-05,0.00349593,yes
1063,ARHGAP25,control,SRR926257,OK,5.70714,1,-2.512767954,NA,5.00E-05,0.00349593,yes
15522,MPEG1,control,SRR926257,OK,5.54952,1,-2.472362992,NA,5.00E-05,0.00349593,yes
3541,CHRDL2,control,SRR926257,OK,5.52003,1,-2.464676108,NA,1.00E-04,0.00655964,yes
25438,XYLT1,control,SRR926257,OK,5.48663,1,-2.455920289,NA,5.00E-05,0.00349593,yes
23369,TFF3,control,SRR926257,OK,5.45232,1,-2.446870237,NA,0.00055,0.0253746,yes
9655,KNDC1,control,SRR926257,OK,5.44566,1,-2.44510691,NA,5.00E-05,0.00349593,yes
5981,FAIM2,control,SRR926257,OK,5.42307,1,-2.439109793,NA,5.00E-05,0.00349593,yes
1630,BCHE,control,SRR926257,OK,5.31321,1,-2.409583735,NA,5.00E-05,0.00349593,yes
15979,MZB1,control,SRR926257,OK,5.31245,1,-2.409377358,NA,0.00105,0.0425639,yes
23287,TEK,control,SRR926257,OK,5.30068,1,-2.406177448,NA,5.00E-05,0.00349593,yes
20383,RSPO1,control,SRR926257,OK,5.19468,1,-2.37703488,NA,5.00E-05,0.00349593,yes
16747,NUDT11,control,SRR926257,OK,5.15949,1,-2.367228467,NA,5.00E-05,0.00349593,yes
7260,GIMAP8,control,SRR926257,OK,5.09838,1,-2.350038906,NA,5.00E-05,0.00349593,yes
5304,DUSP26,control,SRR926257,OK,5.07922,1,-2.344606964,NA,5.00E-05,0.00349593,yes
4466,CYP17A1,control,SRR926257,OK,5.06447,1,-2.340411298,NA,0.00015,0.00908003,yes
21804,SNORA23,control,SRR926257,OK,5.01073,1,-2.325020801,NA,0.00045,0.022301,yes
26288,ZNF879,control,SRR926257,OK,4.99554,1,-2.320640637,NA,5.00E-05,0.00349593,yes
6869,FRRS1L,control,SRR926257,OK,4.97142,1,-2.313657991,NA,0.00025,0.013919,yes
12503,LOC643733,control,SRR926257,OK,4.94642,1,-2.306384744,NA,0.00105,0.0425639,yes
1933,C10orf128,control,SRR926257,OK,4.91727,1,-2.297857574,NA,5.00E-05,0.00349593,yes
5213,DPYSL4,control,SRR926257,OK,4.91522,1,-2.297255992,NA,5.00E-05,0.00349593,yes
8834,IL2RG,control,SRR926257,OK,4.91367,1,-2.29680097,NA,8.00E-04,0.0341972,yes
2188,C1orf158,control,SRR926257,OK,4.91122,1,-2.29608145,NA,0.0011,0.0440953,yes
22754,STMND1,control,SRR926257,OK,4.88809,1,-2.289270848,NA,4.00E-04,0.0200433,yes
16173,NDP,control,SRR926257,OK,4.8099,1,-2.2660069,NA,0.00015,0.00908003,yes
1171,ARMC3,control,SRR926257,OK,4.75802,1,-2.250361336,NA,5.00E-05,0.00349593,yes
19328,RAB25,control,SRR926257,OK,4.60164,1,-2.202148122,NA,0.0011,0.0440953,yes
6297,FAM81B,control,SRR926257,OK,4.59034,1,-2.198601016,NA,0.00065,0.0290952,yes
1058,ARHGAP20,control,SRR926257,OK,4.52686,1,-2.17851069,NA,5.00E-05,0.00349593,yes
