,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
5189,DPPA2,control,SRR926259,OK,1,4.45313,2.154819729,NA,9.00E-04,0.0393545,yes
15473,MNX1-AS1,control,SRR926259,OK,1,5.53489,2.468554645,NA,0.00125,0.0483764,yes
15472,MNX1,control,SRR926259,OK,1,5.8927,2.55892882,NA,3.00E-04,0.0215833,yes
21053,SHISA8,control,SRR926259,OK,1,5.99761,2.584387713,NA,0.00065,0.0327627,yes
8379,HOXB13,control,SRR926259,OK,1,6.51374,2.703486135,NA,2.00E-04,0.0176283,yes
6662,FLJ26245,control,SRR926259,OK,1,7.24376,2.856738748,NA,5.00E-05,0.00738377,yes
15831,MUC2,control,SRR926259,OK,1,8.79067,3.135973128,NA,5.00E-05,0.00738377,yes
20012,RNF223,control,SRR926259,OK,1,8.88101,3.150723758,NA,5.00E-04,0.0285339,yes
4487,CYP2C18,control,SRR926259,OK,1,9.88589,3.305370854,NA,0.00035,0.0228382,yes
16411,NKX2-5,control,SRR926259,OK,1,13.8032,3.786930861,NA,5.00E-05,0.00738377,yes
23560,TLX3,control,SRR926259,OK,1,15.1933,3.925363354,NA,0.00025,0.0193952,yes
8191,HIST1H3J,control,SRR926259,OK,1,19.5236,4.287147194,NA,0.0012,0.0476462,yes
8718,IGF2BP1,control,SRR926259,OK,1,21.0599,4.396426681,NA,5.00E-05,0.00738377,yes
8181,HIST1H2BO,control,SRR926259,OK,1,21.1363,4.401650944,NA,0.00035,0.0228382,yes
23699,TMEM171,control,SRR926259,OK,1,21.3706,4.417555508,NA,0.00025,0.0193952,yes
8190,HIST1H3I,control,SRR926259,OK,1,22.6305,4.500196555,NA,0.00065,0.0327627,yes
8164,HIST1H2AL,control,SRR926259,OK,1,27.2346,4.767368773,NA,6.00E-04,0.0318644,yes
5248,DSCR8,control,SRR926259,OK,1,28.5928,4.83758,NA,0.00095,0.0407991,yes
8183,HIST1H3B,control,SRR926259,OK,1,30.0946,4.911432736,NA,3.00E-04,0.0215833,yes
8160,HIST1H2AH,control,SRR926259,OK,1,30.9342,4.951130819,NA,8.00E-04,0.0366975,yes
8300,HMX1,control,SRR926259,OK,1,34.6648,5.115399532,NA,5.00E-05,0.00738377,yes
22040,SNORD15B,control,SRR926259,OK,30.4537,1088.17,5.15914263,0.014381,0.00085,0.0381593,yes
24793,UGT1A6,control,SRR926259,OK,1,39.4133,5.300610644,NA,5.00E-05,0.00738377,yes
15112,MIR6807,control,SRR926259,OK,16.8734,872.843,5.692899565,0.00897138,0.00045,0.0267694,yes
25382,XAGE2,control,SRR926259,OK,1,89.2539,6.479843305,NA,3.00E-04,0.0215833,yes
22027,SNORD124,control,SRR926259,OK,1,573.269,9.163068456,NA,5.00E-04,0.0285339,yes
22041,SNORD16,control,SRR926259,OK,1,639.761,9.321389238,NA,1.00E-04,0.011691,yes
21858,SNORA68,control,SRR926259,OK,1,662.998,9.372860708,NA,0.00025,0.0193952,yes
21786,SNORA10,control,SRR926259,OK,1,1105,10.10983065,NA,2.00E-04,0.0176283,yes
14462,MIR4691,control,SRR926259,OK,1,1164.82,10.18589132,NA,2.00E-04,0.0176283,yes
15158,MIR6853,control,SRR926259,OK,1,1889.13,10.88350627,NA,1.00E-04,0.011691,yes
22120,SNORD68,control,SRR926259,OK,1,2075.75,11.01941698,NA,2.00E-04,0.0176283,yes
15089,MIR6784,control,SRR926259,OK,1,2653.17,11.3735014,NA,0.00035,0.0228382,yes
13300,MEG3,control,SRR926259,OK,21.8177,0.00671027,-11.66684058,-1.53222,6.00E-04,0.0318644,yes
4644,DCN,control,SRR926259,OK,721.853,1,-9.495561263,NA,1.00E-04,0.011691,yes
8728,IGFBP5,control,SRR926259,OK,546.363,1,-9.093715977,NA,0.00075,0.0356674,yes
2398,C7,control,SRR926259,OK,434.081,1,-8.761820466,NA,1.00E-04,0.011691,yes
13603,MIR1279,control,SRR926259,OK,159.282,1,-7.315439431,NA,0.00125,0.0483764,yes
12837,LUM,control,SRR926259,OK,156.632,1,-7.291235176,NA,0.00035,0.0228382,yes
22330,SPARC,control,SRR926259,OK,147.545,1,-7.205011221,NA,4.00E-04,0.0243105,yes
18215,PLA2G2A,control,SRR926259,OK,147.25,1,-7.202123824,NA,5.00E-05,0.00738377,yes
22070,SNORD36A,control,SRR926259,OK,122.856,1,-6.940824507,NA,5.00E-05,0.00738377,yes
22155,SNORD96A,control,SRR926259,OK,122.856,1,-6.940824507,NA,1.00E-04,0.011691,yes
22132,SNORD79,control,SRR926259,OK,104.647,1,-6.709387143,NA,1.00E-04,0.011691,yes
15059,MIR6757,control,SRR926259,OK,97.6829,1,-6.610034126,NA,5.00E-05,0.00738377,yes
3911,COL3A1,control,SRR926259,OK,96.7347,1,-6.595961591,NA,5.00E-05,0.00738377,yes
18880,PROK1,control,SRR926259,OK,92.3208,1,-6.528583821,NA,5.00E-05,0.00738377,yes
3436,CFH,control,SRR926259,OK,91.6198,1,-6.517587508,NA,5.00E-05,0.00738377,yes
9034,ISLR,control,SRR926259,OK,91.4114,1,-6.514302191,NA,1.00E-04,0.011691,yes
22071,SNORD36B,control,SRR926259,OK,86.699,1,-6.437943448,NA,5.00E-05,0.00738377,yes
22034,SNORD14A,control,SRR926259,OK,84.3671,1,-6.398608607,NA,0.00025,0.0193952,yes
15213,MIR7111,control,SRR926259,OK,81.9039,1,-6.355860245,NA,1.00E-04,0.011691,yes
13440,MGP,control,SRR926259,OK,79.2725,1,-6.30874857,NA,5.00E-05,0.00738377,yes
21437,SLC40A1,control,SRR926259,OK,79.2026,1,-6.307475886,NA,5.00E-05,0.00738377,yes
5449,EFEMP1,control,SRR926259,OK,78.2061,1,-6.289209236,NA,5.00E-05,0.00738377,yes
20939,SFRP4,control,SRR926259,OK,66.5394,1,-6.056136952,NA,1.00E-04,0.011691,yes
4451,CYBRD1,control,SRR926259,OK,64.0781,1,-6.001759465,NA,5.00E-05,0.00738377,yes
9143,JCHAIN,control,SRR926259,OK,62.4139,1,-5.963795458,NA,5.00E-05,0.00738377,yes
21853,SNORA63,control,SRR926259,OK,59.135,1,-5.88594036,NA,7.00E-04,0.0338635,yes
25299,WFDC2,control,SRR926259,OK,52.6945,1,-5.719580483,NA,1.00E-04,0.011691,yes
22115,SNORD63,control,SRR926259,OK,51.9964,1,-5.700339836,NA,5.00E-05,0.00738377,yes
14616,MIR5047,control,SRR926259,OK,51.5767,1,-5.688647564,NA,0.00015,0.01443,yes
22064,SNORD32A,control,SRR926259,OK,50.0709,1,-5.645900482,NA,0.00025,0.0193952,yes
1989,C11orf96,control,SRR926259,OK,48.0844,1,-5.587497012,NA,5.00E-05,0.00738377,yes
19489,RARRES1,control,SRR926259,OK,47.7903,1,-5.578645919,NA,5.00E-05,0.00738377,yes
24881,UQCRH,control,SRR926259,OK,44.861,1,-5.487389875,NA,0.00015,0.01443,yes
4399,CXCL12,control,SRR926259,OK,44.7291,1,-5.483141825,NA,0.00015,0.01443,yes
22074,SNORD38A,control,SRR926259,OK,43.3495,1,-5.437943448,NA,1.00E-04,0.011691,yes
22103,SNORD56,control,SRR926259,OK,43.3495,1,-5.437943448,NA,0.00025,0.0193952,yes
23192,TCEAL2,control,SRR926259,OK,39.392,1,-5.299830762,NA,1.00E-04,0.011691,yes
21860,SNORA70,control,SRR926259,OK,37.8366,1,-5.241710549,NA,0.00035,0.0228382,yes
18890,PROS1,control,SRR926259,OK,36.646,1,-5.195583828,NA,5.00E-05,0.00738377,yes
13498,MIR100HG,control,SRR926259,OK,35.6785,1,-5.156983057,NA,5.00E-05,0.00738377,yes
8646,IFI27L2,control,SRR926259,OK,34.3745,1,-5.103266824,NA,0.00095,0.0407991,yes
16903,OLFML3,control,SRR926259,OK,34.3559,1,-5.102485972,NA,5.00E-05,0.00738377,yes
18424,PODN,control,SRR926259,OK,33.2593,1,-5.0556859,NA,5.00E-05,0.00738377,yes
6959,G0S2,control,SRR926259,OK,33.0277,1,-5.045604601,NA,5.00E-05,0.00738377,yes
3891,COL14A1,control,SRR926259,OK,32.8185,1,-5.036437396,NA,5.00E-05,0.00738377,yes
4984,DLK1,control,SRR926259,OK,32.2485,1,-5.011160152,NA,5.00E-05,0.00738377,yes
14249,MIR4419A,control,SRR926259,OK,31.5229,1,-4.978328359,NA,7.00E-04,0.0338635,yes
17833,PDGFRA,control,SRR926259,OK,31.4003,1,-4.972706438,NA,2.00E-04,0.0176283,yes
3817,CNN1,control,SRR926259,OK,28.727,1,-4.844335433,NA,5.00E-05,0.00738377,yes
16169,NDN,control,SRR926259,OK,27.9276,1,-4.803619694,NA,5.00E-05,0.00738377,yes
23216,TCF21,control,SRR926259,OK,27.6823,1,-4.79089191,NA,5.00E-05,0.00738377,yes
22052,SNORD20,control,SRR926259,OK,27.3651,1,-4.774265223,NA,0.00015,0.01443,yes
10759,LINC01279,control,SRR926259,OK,26.7514,1,-4.74154249,NA,5.00E-05,0.00738377,yes
25324,WISP2,control,SRR926259,OK,26.1519,1,-4.708843861,NA,2.00E-04,0.0176283,yes
8743,IGLL5,control,SRR926259,OK,25.8773,1,-4.693615191,NA,5.00E-04,0.0285339,yes
5583,ELK2AP,control,SRR926259,OK,25.4864,1,-4.671655699,NA,5.00E-05,0.00738377,yes
8644,IFI27,control,SRR926259,OK,24.4647,1,-4.612629687,NA,5.00E-05,0.00738377,yes
7874,GYPC,control,SRR926259,OK,24.0957,1,-4.590703808,NA,5.00E-05,0.00738377,yes
9095,ITM2A,control,SRR926259,OK,23.535,1,-4.556735948,NA,5.00E-05,0.00738377,yes
7960,HBB,control,SRR926259,OK,23.4988,1,-4.55451518,NA,8.00E-04,0.0366975,yes
13819,MIR26A2,control,SRR926259,OK,22.9895,1,-4.522903184,NA,1.00E-04,0.011691,yes
21852,SNORA62,control,SRR926259,OK,22.6342,1,-4.500432411,NA,0.0013,0.0489608,yes
2242,C20orf85,control,SRR926259,OK,22.1755,1,-4.470894729,NA,3.00E-04,0.0215833,yes
2936,CCL14,control,SRR926259,OK,21.9343,1,-4.455116761,NA,0.00065,0.0327627,yes
15065,MIR6762,control,SRR926259,OK,21.1829,1,-4.404828207,NA,0.00065,0.0327627,yes
22068,SNORD35A,control,SRR926259,OK,21.1829,1,-4.404828207,NA,0.00015,0.01443,yes
13761,MIR202HG,control,SRR926259,OK,21.0039,1,-4.392585327,NA,5.00E-05,0.00738377,yes
21825,SNORA4,control,SRR926259,OK,20.6594,1,-4.36872645,NA,1.00E-04,0.011691,yes
4186,CSDC2,control,SRR926259,OK,20.4781,1,-4.35600996,NA,0.00025,0.0193952,yes
23425,THBS2,control,SRR926259,OK,19.7706,1,-4.30528475,NA,0.00015,0.01443,yes
17885,PDZRN3,control,SRR926259,OK,19.6147,1,-4.293863365,NA,5.00E-05,0.00738377,yes
7780,GSTM5,control,SRR926259,OK,19.5893,1,-4.29199394,NA,1.00E-04,0.011691,yes
22536,SRGN,control,SRR926259,OK,19.0451,1,-4.251347958,NA,0.00015,0.01443,yes
2144,C1QA,control,SRR926259,OK,19.0333,1,-4.250453813,NA,0.00025,0.0193952,yes
20627,SCGB1A1,control,SRR926259,OK,18.848,1,-4.236339539,NA,0.00085,0.0381593,yes
2145,C1QB,control,SRR926259,OK,18.2577,1,-4.190433129,NA,1.00E-04,0.011691,yes
2943,CCL2,control,SRR926259,OK,17.7878,1,-4.152816184,NA,5.00E-04,0.0285339,yes
24882,UQCRHL,control,SRR926259,OK,17.4875,1,-4.128252152,NA,0.0011,0.0447307,yes
21795,SNORA15,control,SRR926259,OK,16.8002,1,-4.070406503,NA,7.00E-04,0.0338635,yes
2147,C1QC,control,SRR926259,OK,16.7356,1,-4.06484837,NA,4.00E-04,0.0243105,yes
16621,NR2F1,control,SRR926259,OK,16.4661,1,-4.041426988,NA,5.00E-05,0.00738377,yes
13376,MFAP2,control,SRR926259,OK,16.3174,1,-4.028339293,NA,1.00E-04,0.011691,yes
21834,SNORA48,control,SRR926259,OK,16.1277,1,-4.011468803,NA,6.00E-04,0.0318644,yes
390,ADH1B,control,SRR926259,OK,15.7312,1,-3.975556821,NA,0.00015,0.01443,yes
3028,CD14,control,SRR926259,OK,15.5905,1,-3.962595292,NA,5.00E-05,0.00738377,yes
3893,COL16A1,control,SRR926259,OK,15.4987,1,-3.954075305,NA,5.00E-05,0.00738377,yes
18973,PRRX1,control,SRR926259,OK,15.3346,1,-3.93871863,NA,5.00E-05,0.00738377,yes
22476,SPRR2F,control,SRR926259,OK,14.8464,1,-3.892041239,NA,8.00E-04,0.0366975,yes
6800,FOXL2,control,SRR926259,OK,14.4298,1,-3.850979399,NA,0.00015,0.01443,yes
54,ABCA8,control,SRR926259,OK,14.3965,1,-3.847646209,NA,5.00E-05,0.00738377,yes
1178,ARMCX1,control,SRR926259,OK,14.3245,1,-3.840412877,NA,5.00E-05,0.00738377,yes
14870,MIR590,control,SRR926259,OK,14.2036,1,-3.828184732,NA,1.00E-04,0.011691,yes
25630,ZEB2,control,SRR926259,OK,13.9041,1,-3.797438458,NA,1.00E-04,0.011691,yes
15844,MUM1L1,control,SRR926259,OK,13.8451,1,-3.791303569,NA,1.00E-04,0.011691,yes
15094,MIR6789,control,SRR926259,OK,13.7457,1,-3.780908473,NA,0.00125,0.0483764,yes
8895,INHA,control,SRR926259,OK,13.5218,1,-3.757215309,NA,5.00E-05,0.00738377,yes
24373,TSHZ3,control,SRR926259,OK,12.8913,1,-3.688325852,NA,5.00E-05,0.00738377,yes
