,gene_id,sample_1,sample_2,status,value_1,value_2,log2_fold_change,test_stat,p_value,q_value,significant
5824,ERVV-2,control,SRR926258,OK,1,4.03468,2.012454254,NA,3.00E-04,0.0124471,yes
15472,MNX1,control,SRR926258,OK,1,4.31504,2.109373933,NA,5.00E-04,0.0180393,yes
15838,MUC5B,control,SRR926258,OK,0.22387,1,2.159266884,NA,0.0019,0.046633,yes
12674,LRP1-AS,control,SRR926258,OK,0.220008,1,2.18437211,NA,6.00E-04,0.0203813,yes
15473,MNX1-AS1,control,SRR926258,OK,1,4.62348,2.208979148,NA,0.0017,0.0423808,yes
3217,CDK5R2,control,SRR926258,OK,1,4.87986,2.286839758,NA,2.00E-04,0.00907604,yes
9691,KRT16P3,control,SRR926258,OK,1,5.08372,2.345884572,NA,5.00E-05,0.00294358,yes
22102,SNORD55,control,SRR926258,OK,180.12,918.118,2.349721203,0.00964563,0.00105,0.0308555,yes
15925,MYLK-AS2,control,SRR926258,OK,0.170573,1,2.551538794,NA,0.00045,0.0169367,yes
4487,CYP2C18,control,SRR926258,OK,1,5.95982,2.575268759,NA,5.00E-05,0.00294358,yes
8718,IGF2BP1,control,SRR926258,OK,1,6.39324,2.676547253,NA,5.00E-05,0.00294358,yes
20012,RNF223,control,SRR926258,OK,1,8.07865,3.014114228,NA,6.00E-04,0.0203813,yes
17493,PADI3,control,SRR926258,OK,1,9.22706,3.205871038,NA,2.00E-04,0.00907604,yes
9690,KRT16P2,control,SRR926258,OK,1,13.832,3.789937869,NA,5.00E-05,0.00294358,yes
18061,PI3,control,SRR926258,OK,1,14.9682,3.903828836,NA,0.00155,0.0396627,yes
8300,HMX1,control,SRR926258,OK,1,15.1349,3.919807238,NA,5.00E-05,0.00294358,yes
22956,SYT14,control,SRR926258,OK,1,16.31,4.027684877,NA,5.00E-05,0.00294358,yes
6938,FXYD4,control,SRR926258,OK,1,19.1364,4.258247546,NA,0.00035,0.0138616,yes
25065,VGF,control,SRR926258,OK,1,19.3368,4.273277161,NA,5.00E-05,0.00294358,yes
22068,SNORD35A,control,SRR926258,OK,34.6311,895.498,4.692550092,0.0107099,0.00085,0.0264975,yes
10887,LINC01483,control,SRR926258,OK,1,26.6844,4.737924668,NA,5.00E-05,0.00294358,yes
23560,TLX3,control,SRR926258,OK,1,36.5909,5.193412996,NA,1.00E-04,0.00532905,yes
6211,FAM25A,control,SRR926258,OK,1,72.8322,6.186504519,NA,0.00025,0.0106256,yes
23699,TMEM171,control,SRR926258,OK,1,79.242,6.308193388,NA,5.00E-05,0.00294358,yes
24793,UGT1A6,control,SRR926258,OK,1,112.681,6.816100462,NA,5.00E-05,0.00294358,yes
21807,SNORA26,control,SRR926258,OK,1,113.145,6.822029022,NA,0.00115,0.0325852,yes
15202,MIR7-1,control,SRR926258,OK,1,150.355,7.232229035,NA,5.00E-05,0.00294358,yes
21858,SNORA68,control,SRR926258,OK,1,178.475,7.479578192,NA,0.00025,0.0106256,yes
22138,SNORD83B,control,SRR926258,OK,1,239.537,7.904104708,NA,1.00E-04,0.00532905,yes
22069,SNORD35B,control,SRR926258,OK,1,288.9,8.174426394,NA,0.00015,0.00728106,yes
15345,MIR937,control,SRR926258,OK,1,298.499,8.221582288,NA,0.0017,0.0423808,yes
22055,SNORD23,control,SRR926258,OK,1,300.71,8.232229035,NA,0.00035,0.0138616,yes
14930,MIR616,control,SRR926258,OK,1,451.59,8.818869729,NA,5.00E-04,0.0180393,yes
14988,MIR6513,control,SRR926258,OK,1,708.209,9.468031368,NA,1.00E-04,0.00532905,yes
21872,SNORA72,control,SRR926258,OK,1,820.071,9.67960501,NA,0.00125,0.0341418,yes
15155,MIR6850,control,SRR926258,OK,1,825.599,9.689297413,NA,0.00025,0.0106256,yes
22093,SNORD4A,control,SRR926258,OK,1,994.473,9.957788392,NA,4.00E-04,0.0156287,yes
14417,MIR4651,control,SRR926258,OK,1,1910.5,10.89973454,NA,6.00E-04,0.0203813,yes
14968,MIR650,control,SRR926258,OK,6265.88,1,-12.61330143,NA,0.0017,0.0423808,yes
13300,MEG3,control,SRR926258,OK,35.6706,0.00693598,-12.32834812,-1.58795,8.00E-04,0.0255326,yes
5004,DMD,control,SRR926258,OK,10.2355,0.00506181,-10.9816406,-2.50939,8.00E-04,0.0255326,yes
8727,IGFBP4,control,SRR926258,OK,1817.26,1,-10.82754913,NA,5.00E-05,0.00294358,yes
4644,DCN,control,SRR926258,OK,1180.13,1,-10.20473008,NA,5.00E-05,0.00294358,yes
13603,MIR1279,control,SRR926258,OK,260.404,1,-8.024607799,NA,0.0014,0.0372464,yes
12837,LUM,control,SRR926258,OK,256.072,1,-8.000405701,NA,5.00E-05,0.00294358,yes
22330,SPARC,control,SRR926258,OK,241.215,1,-7.914175814,NA,5.00E-05,0.00294358,yes
18215,PLA2G2A,control,SRR926258,OK,240.733,1,-7.911290112,NA,5.00E-05,0.00294358,yes
22070,SNORD36A,control,SRR926258,OK,200.852,1,-7.649989017,NA,1.00E-04,0.00532905,yes
22155,SNORD96A,control,SRR926258,OK,200.852,1,-7.649989017,NA,2.00E-04,0.00907604,yes
